epoch,steps,samples,loss,ic_loss,huber_loss,pairwise_loss,learning_rate,seconds
1,512,393216,0.6933058213908225,0.9735125206643716,0.020346073961263755,0.6940784089965746,0.00015029296874999998,22.39684295654297
2,512,393216,0.6453775790287182,0.8945769692072645,0.020230513426213292,0.6904916029889137,0.0003,15.583426237106323
3,512,393216,0.631954011390917,0.8725290646543726,0.020160439344181214,0.6893095775740221,0.0002977211629518312,16.33597493171692
4,512,393216,0.6282032259041443,0.8662184560671449,0.02014106982460362,0.6895790586713701,0.0002909538931178862,15.368889331817627
5,512,393216,0.6274379200767726,0.8651052684290335,0.020120064924412873,0.6889647851930931,0.0002799038105676658,14.827759981155396
6,512,393216,0.6193672213703394,0.852112157503143,0.02007816890909453,0.687202411936596,0.00026490666646784665,14.951333999633789
7,512,393216,0.6176206236705184,0.8492996921995655,0.02010753670037957,0.6867593234637752,0.0002464181414529809,15.08567214012146
8,512,393216,0.6201620958163403,0.8534092822810635,0.020076068150956417,0.6873165502911434,0.000225,14.114874124526978
9,512,393216,0.6148424743441865,0.8447725460864604,0.020093479302886408,0.6863703285343945,0.00020130302149885031,13.464749097824097
10,512,393216,0.6126129073672928,0.8412510306807235,0.020086766198801342,0.6856038254918531,0.00017604722665003956,13.173749446868896
11,512,393216,0.6138727519428357,0.8433814373565838,0.02006444935250329,0.6855183296138421,0.00015,12.986876964569092
12,512,393216,0.6085542414803058,0.834830678300932,0.020082171402464155,0.6842351196100935,0.00012395277334996044,13.219905614852905
13,512,393216,0.6070959850330837,0.8324926822679117,0.02007972183128004,0.6838694751495495,9.869697850114969e-05,12.86923360824585
14,512,393216,0.6126182903535664,0.8414050438441336,0.02007773036893923,0.6850387175800279,7.500000000000002e-05,12.128738164901733
15,512,393216,0.6078221147181466,0.8337110609281808,0.020094186475034803,0.6838127182563767,5.358185854701909e-05,12.316510677337646
16,512,393216,0.603447922039777,0.8266400251304731,0.02007007550855633,0.6829757579835132,3.509333353215331e-05,11.454036474227905
17,512,393216,0.6036504074581899,0.826993273338303,0.020083675979549298,0.6828899909742177,2.009618943233419e-05,11.124969482421875
18,512,393216,0.6061821856419556,0.8310514718759805,0.020104714905755827,0.6835006589535624,9.046106882113751e-06,12.367558002471924
19,512,393216,0.6006158371455967,0.8220993707654998,0.020092947142984485,0.6822196942521259,2.2788370481687965e-06,11.28256106376648
20,512,393216,0.6055911767762154,0.8301470061996952,0.020097129181522178,0.6831911025801674,0.0,12.18202543258667
