window,split,time,baseline,method,baseline_ic,correction_ic,candidate_ic,delta,confidence,mean_neighbor_distance,fingerprint_std,min_library_time,max_library_time,library_cutoff_exclusive
fold_1,train,1459,exp016_static_strict_oof_proxy,retrieval,0.13392218305935608,0.059432291451308156,0.13194335569608842,-0.0019788273632676545,-3.489370808005333,3.4058914184570312,0.0834793895483017,1135,1458,1459
fold_1,train,1459,exp016_static_strict_oof_proxy,recent,0.13392218305935608,-0.04505705069172233,0.12798046397906326,-0.005941719080292812,nan,nan,0.0938834473490715,1427,1458,1459
fold_1,train,1459,exp016_static_strict_oof_proxy,random,0.13392218305935608,0.08770357904899682,0.13493866388133413,0.0010164808219780552,nan,nan,0.08714628219604492,502,1443,1459
fold_1,train,1460,exp016_static_strict_oof_proxy,retrieval,0.07061800417429077,0.037345314589718404,0.07064970677622279,3.1702601932012686e-05,-3.950179360806942,3.875023126602173,0.07515623420476913,541,1452,1459
fold_1,train,1460,exp016_static_strict_oof_proxy,recent,0.07061800417429077,-0.2866929351968213,0.03925530296869474,-0.03136270120559603,nan,nan,0.0938834473490715,1427,1458,1459
fold_1,train,1460,exp016_static_strict_oof_proxy,random,0.07061800417429077,0.1824372087552846,0.08551085354763327,0.014892849373342495,nan,nan,0.08486498892307281,495,1450,1459
fold_1,train,1461,exp016_static_strict_oof_proxy,retrieval,0.0713222172137768,0.19308300955186336,0.08841040551876184,0.01708818830498504,-4.580600179731846,4.494307518005371,0.08629266172647476,542,1454,1459
fold_1,train,1461,exp016_static_strict_oof_proxy,recent,0.0713222172137768,-0.37346839725294767,0.031598578113320404,-0.03972363910045639,nan,nan,0.0938834473490715,1427,1458,1459
fold_1,train,1461,exp016_static_strict_oof_proxy,random,0.0713222172137768,0.3171164404169785,0.10167462634504372,0.030352409131266925,nan,nan,0.08394524455070496,489,1446,1459
fold_1,train,1462,exp016_static_strict_oof_proxy,retrieval,-0.0700034482669515,-0.07307574231798407,-0.07308168392098359,-0.003078235654032091,-2.927460603415966,2.849575996398926,0.07788460701704025,486,1451,1459
fold_1,train,1462,exp016_static_strict_oof_proxy,recent,-0.0700034482669515,-0.36321818101974135,-0.10761269420854368,-0.03760924594159218,nan,nan,0.0938834473490715,1427,1458,1459
fold_1,train,1462,exp016_static_strict_oof_proxy,random,-0.0700034482669515,0.06334919313399526,-0.05995677207685494,0.010046676190096561,nan,nan,0.07050459086894989,528,1351,1459
fold_1,train,1463,exp016_static_strict_oof_proxy,retrieval,-0.015877558070779257,0.01040818061804592,-0.013034454903843124,0.002843103166936133,-2.756452888250351,2.6801955699920654,0.07625731825828552,976,1422,1459
fold_1,train,1463,exp016_static_strict_oof_proxy,recent,-0.015877558070779257,-0.26547747725055953,-0.04358629004949072,-0.02770873197871146,nan,nan,0.0938834473490715,1427,1458,1459
fold_1,train,1463,exp016_static_strict_oof_proxy,random,-0.015877558070779257,-0.062317300329380695,-0.020341347035826057,-0.004463788965046799,nan,nan,0.08569293469190598,496,1428,1459
fold_1,train,1464,exp016_static_strict_oof_proxy,retrieval,0.11128109475496713,0.09809804032680045,0.11583805100142058,0.004556956246453456,-2.9591278359293938,2.8743176460266113,0.08481018990278244,794,1452,1459
fold_1,train,1464,exp016_static_strict_oof_proxy,recent,0.11128109475496713,-0.39471600800061185,0.06936334189955566,-0.041917752855411466,nan,nan,0.0938834473490715,1427,1458,1459
fold_1,train,1464,exp016_static_strict_oof_proxy,random,0.11128109475496713,0.25289066959179207,0.13125725462196194,0.019976159866994816,nan,nan,0.07598043978214264,493,1436,1459
fold_1,train,1465,exp016_static_strict_oof_proxy,retrieval,0.045402505147181894,0.029978388289900453,0.04471522518491287,-0.0006872799622690273,-3.0427482575178146,2.9666361808776855,0.07611207664012909,984,1452,1459
fold_1,train,1465,exp016_static_strict_oof_proxy,recent,0.045402505147181894,-0.20379967502705545,0.022947920243338006,-0.02245458490384389,nan,nan,0.0938834473490715,1427,1458,1459
fold_1,train,1465,exp016_static_strict_oof_proxy,random,0.045402505147181894,0.1065287984646716,0.05304000141551394,0.007637496268332045,nan,nan,0.08186181634664536,505,1398,1459
fold_1,train,1466,exp016_static_strict_oof_proxy,retrieval,0.20173704789785943,0.25916922213838645,0.21368122235244066,0.011944174454581236,-9.995635598897934,9.899932861328125,0.09570273756980896,582,1457,1459
