window,time,baseline_ic,candidate_ic,delta_vs_baseline,rank_correlation_to_baseline,calibration_cutoff_exclusive,in_window_label_update
fold_2,1945,0.14753916193784378,0.03802156774737769,-0.10951759419046608,0.8520884840701456,1945,False
fold_2,1946,0.13037226375512,0.017159834201102356,-0.11321242955401765,0.8590889309598739,1945,False
fold_2,1947,0.14590823158920113,-0.015382751720382391,-0.16129098330958352,0.8563911625599028,1945,False
fold_2,1948,0.16561214261098808,-0.01773433034602298,-0.18334647295701106,0.858789976128317,1945,False
fold_2,1949,-0.029892549653841315,-0.18344822428344845,-0.15355567462960715,0.8632600270009297,1945,False
fold_2,1950,-0.026791527415531365,-0.20770518918532294,-0.18091366176979157,0.8508005978280807,1945,False
fold_2,1951,-0.001982523156426579,-0.17781969726772048,-0.1758371741112939,0.856673565910879,1945,False
fold_2,1952,-0.07462937507408912,-0.12219596150798363,-0.04756658643389451,0.8754619774157785,1945,False
fold_2,1953,0.15258172406016904,0.15855537246574417,0.005973648405575127,0.8897668711107931,1945,False
fold_2,1954,0.17720611901866817,0.131355735015378,-0.04585038400329017,0.8663395411630068,1945,False
fold_2,1955,0.290413228220442,0.34608769267219797,0.055674464451755945,0.8600936091838923,1945,False
fold_2,1956,0.27969070747800584,0.29062666520635144,0.010935957728345602,0.8621460263035546,1945,False
fold_2,1957,0.1565626763868532,0.12343909387288424,-0.03312358251396896,0.8688653686252771,1945,False
fold_2,1958,0.14627987517490082,0.18777401236246974,0.04149413718756892,0.8598220209006363,1945,False
fold_2,1959,0.04567586766297603,0.13874757118404515,0.09307170352106912,0.8640531122594949,1945,False
fold_2,1960,-0.019980173986124023,0.042807347918603814,0.06278752190472783,0.8539154030469923,1945,False
fold_2,1961,0.06722933151249165,0.10877201679056625,0.0415426852780746,0.8553881048387096,1945,False
fold_2,1962,0.06529412703315583,0.0187000159219991,-0.04659411111115673,0.8533892872469779,1945,False
fold_2,1963,0.07751547859595165,-0.011915177294184965,-0.08943065589013661,0.8482243088834847,1945,False
fold_2,1964,0.07833853756884343,0.0015343144267219795,-0.07680422314212144,0.8567225721514913,1945,False
fold_2,1965,0.15256777054574064,-0.010515308722552035,-0.16308307926829269,0.8464135590265359,1945,False
fold_2,1966,0.09982884248968289,-0.032111610624905154,-0.13194045311458805,0.8516015229697936,1945,False
fold_2,1967,0.11331563818754023,0.024292901974107717,-0.08902273621343251,0.8627669024032615,1945,False
fold_2,1968,0.03775597239110221,-0.12378129246834989,-0.1615372648594521,0.8572325164508975,1945,False
fold_2,1969,0.14857061634028607,0.037726250239516604,-0.11084436610076946,0.8503317560439168,1945,False
fold_2,1970,0.21600528413567166,0.14814121785974288,-0.06786406627592878,0.8643396171590014,1945,False
