stock,count,raw_mean_residual,mean_noise_variance,shrinkage,offset
0,1702,-0.15087917222084365,0.00010321692987498495,0.994136250754209,-0.14999444782733917
1,252,-0.36135465805492706,0.0004963099627586337,0.9724205461223215,-0.35138869285583496
2,695,0.013128983659549153,0.0002194242207406501,0.9876162737027803,0.012966398149728775
3,984,-0.107685399659137,9.69700005204736e-05,0.9944891828143556,-0.10709196329116821
4,483,-0.19736977797734317,0.0001994569358210869,0.9887304751431005,-0.19514551758766174
5,284,0.17724068867022985,0.0006230852610824454,0.9656179818344794,0.17114679515361786
6,877,-0.08719906813232493,0.00012347273612449506,0.9929935817980674,-0.08658811450004578
7,803,0.07730628559910976,0.00018933200253037232,0.9892964212430785,0.07647883147001266
8,537,-0.04131000135891708,0.00023913480897242353,0.9865188565190628,-0.04075309634208679
9,560,0.1272343318626684,0.00020179525959390017,0.988599863571821,0.12578384578227997
10,842,-0.0018153181410175605,0.00012902750228603135,0.992680685563256,-0.0018020313000306487
11,925,-0.060054807857283066,0.00012582593796056562,0.9928610034462003,-0.059626076370477676
12,559,-0.10839215357503013,0.0001894137203382707,0.9892918509282224,-0.10723147541284561
13,529,0.04028858246883846,0.0002639342354398709,0.9851415702557456,0.03968995809555054
14,397,0.0485102095376109,0.0003465067989258396,0.9805833273954689,0.04756830260157585
15,759,0.021661700099235466,0.0001955434893556599,0.9889491454526208,0.02142231911420822
16,857,-0.07606229782852973,0.00014688632869812752,0.9916760446677803,-0.07542915642261505
17,562,-0.012593287331618873,0.00017019144243959945,0.9903680793573062,-0.01247198972851038
18,292,0.1665980416311793,0.0003877169454204939,0.9783241518375587,0.1629868894815445
19,670,-0.0947457450233511,0.00022334057763940139,0.9873980302123231,-0.09355176240205765
20,62,-0.225609376305534,0.002265258906543994,0.8853880164501204,-0.1997518390417099
21,790,0.2475882725342165,0.00011082698277821216,0.9937066447694787,0.24603010714054108
22,719,-0.14514282299140896,0.00019616527019075672,0.9889143959547837,-0.1435338258743286
23,656,-0.036143064442113404,0.0002395207440749631,0.9864973933346606,-0.03565504029393196
24,803,-0.10219538899818215,0.00012013785994312932,0.9931815279037699,-0.1014985740184784
25,480,0.052477641582178575,0.0002690247600837504,0.9848593332622081,0.05168309435248375
26,767,-0.09961059868743709,0.00016398807713518642,0.9907158970462403,-0.09868580102920532
27,561,-0.12569299747307458,0.0002126954279734331,0.9879914687766924,-0.12418361008167267
28,747,-0.05602186233792678,0.00016333675491479307,0.9907524303304421,-0.05550379678606987
29,3,-0.4213098734617233,0.02136045255165227,0.4503198334183085,-0.18972419202327728
30,620,0.11856869579322876,0.0002762420594602209,0.9844594572952218,0.11672607064247131
31,699,-0.110418251421148,0.0001617367007734038,0.9908421903333114,-0.10940705984830856
32,638,-0.15152757442600115,0.0001583794915207021,0.9910305762785524,-0.15016846358776093
33,645,-0.04274003195626907,0.00022106349145286616,0.9875249117192377,-0.04220684617757797
34,707,0.12258966502244814,0.00017786299426826192,0.9899382792514291,0.12135620415210724
35,655,-0.06435425263324766,0.00019319001332226323,0.9890806964084814,-0.06365154683589935
36,693,0.04445676314866259,0.0002067824114016963,0.9883214118668794,0.043937571346759796
37,767,-0.16939780025377463,0.0001351186815770166,0.9923378001325126,-0.16809983551502228
38,401,-0.07306757555378048,0.00033614329877854684,0.9811531061982446,-0.07169047743082047
39,772,-0.026356020696229575,0.00016600795118294857,0.9906026175172151,-0.02610834315419197
40,637,-0.11578802064973481,0.00022360120689542167,0.9873835097704317,-0.11432718485593796
41,532,-0.06637275288987876,0.00024660982065298584,0.9861033113610553,-0.06545039266347885
42,862,0.13463853081156718,0.00014114020375920964,0.9919990685958566,0.13356129825115204
43,704,0.04810415032129227,0.00019115843647700114,0.9891942824907267,0.047584351152181625
44,699,-0.12715204774224878,0.0001672223916922514,0.990534521160841,-0.1259484887123108
45,765,-0.03281230340450028,0.00019605080899054816,0.9889207926704303,-0.032448768615722656
46,712,0.06816104039277755,0.00018890647282963804,0.9893202209574166,0.06743309646844864
47,642,-0.03808315378552842,0.00018875657712840127,0.9893286048397172,-0.03767675161361694
48,756,-0.07782108408630525,0.0001661429427643919,0.990595047779158,-0.07708918303251266
49,729,-0.10254956137092557,0.0001632880884532453,0.9907551601868436,-0.1016015037894249
50,726,0.05852319135204902,0.000164019035989837,0.9907141606016482,0.057979755103588104
51,691,0.07654631868080275,0.0002626298824897726,0.9852139143110152,0.0754145011305809
52,737,-0.044112190773541275,0.00016205311745784713,0.9908244386672851,-0.04370743781328201
53,680,0.1752869863747893,0.00018487057015642967,0.9895460044061956,0.17345453798770905
54,636,0.007738706121314903,0.00021538536048395254,0.9878414449068137,0.0076446146704256535
55,648,-0.18284125513408656,0.0002136789410403558,0.9879366106527898,-0.18063557147979736
56,776,0.02546469238466708,0.00016544592250081251,0.990634134873558,0.02522619441151619
57,832,-0.062031992099946365,9.763399631749121e-05,0.9944516572171715,-0.06168781593441963
58,626,-0.13019017408045527,0.0001720255277383156,0.9902652904466752,-0.12892280519008636
59,765,-0.14497395999291363,0.0001239511337105033,0.9929666262221246,-0.1439543068408966
60,807,-0.0772424667445848,0.00012831901146161454,0.9927205834020651,-0.07668018341064453
61,726,-0.06307764577912808,0.0001722898276639208,0.9902504798620515,-0.06246266886591911
62,698,-0.11689754911727755,0.0001464363353094402,0.9917013338855047,-0.11592745780944824
63,705,-0.06209152795321553,0.00025242428991490085,0.9857803197949188,-0.06120860576629639
64,750,0.16504220044768106,0.0002509663365483668,0.9858612886751015,0.16270871460437775
65,712,0.02196853204755887,0.00018418524590190592,0.9895843542372201,0.021739715710282326
66,598,-0.015022044503021002,0.00019186768581916944,0.989154625179306,-0.014859125018119812
67,572,0.12030383845517685,0.0003616408681289083,0.9797524534845017,0.11786798387765884
68,666,-0.2207496764401237,0.00011836940513600323,0.9932812229014492,-0.21926650404930115
69,713,-0.18927517259783447,0.00020109221232842868,0.9886391300008848,-0.1871248483657837
70,813,0.11078202844165531,0.0001873584612060635,0.9894068103196919,0.109608493745327
71,731,0.021260496254414115,0.0002011034575987753,0.988638501908166,0.021018944680690765
72,673,-0.03511326221464116,0.00015635154682313814,0.9911444067772611,-0.03480231389403343
73,640,-0.014521564857568591,0.00025510916081858035,0.9856312476301684,-0.014312908053398132
74,820,0.0700314930890028,0.00021030643770043002,0.9881247466009865,0.06919985264539719
75,738,-0.03234907105403541,0.00019289525063689674,0.9890971750624578,-0.03199637308716774
76,691,0.04336402399732304,0.00020993493300605428,0.9881454754653979,0.04284996539354324
77,756,0.05320814279617653,0.0001765846106336148,0.9900098750255936,0.05267658829689026
78,728,-0.13499523664231075,0.00016921536853322223,0.9904227908425841,-0.133702352643013
79,366,-0.24280956505589146,0.00038164428944537673,0.9786564058536602,-0.23762713372707367
80,774,-0.19309333287112088,0.00010398334820199188,0.9940929677560804,-0.19195272028446198
81,0,0.0,0.0,0.0,0.0
82,739,-0.13579261791671807,0.00016165951398909226,0.990846520776746,-0.13454964756965637
83,484,0.1330345748242545,0.0003553580252348963,0.9800972161723994,0.1303868144750595
84,449,0.048339182504749376,0.00034967769873504574,0.980409125485592,0.04739217460155487
85,295,0.12814420836709314,0.0003474552135191582,0.9805312172002604,0.12564939260482788
86,731,-0.037655963026058496,0.00017297146588224108,0.9902122849207684,-0.0372873954474926
87,704,0.07657766018316826,0.00017943410583301812,0.9898503034551165,0.07580041885375977
88,620,-0.07324825883993218,0.00014493466592543471,0.9917857356690707,-0.07264658063650131
89,718,-0.0796717627623837,0.00021942826570196222,0.9876160482428905,-0.07868511229753494
90,716,-0.25654629656951355,0.0001101866929340281,0.9937427763812032,-0.25494101643562317
91,440,-0.00574957671659914,0.00028278020270962486,0.9840974903322834,-0.0056581441313028336
92,715,-0.25620875782952024,9.966239462057018e-05,0.9943370402072406,-0.2547578513622284
93,739,-0.0558047055396603,0.00020732972135938953,0.9882908630161152,-0.055151280015707016
94,831,-0.21189093249866786,0.00012149231704924003,0.9931051851745788,-0.21042998135089874
95,413,-0.03536482944128444,0.0005589516598316478,0.9690473531749977,-0.03427019342780113
96,781,-0.09186957549737831,0.00018378070899781898,0.9896069929779041,-0.0909147709608078
97,652,-0.04791791535959653,0.0002021198945735635,0.9885817331886062,-0.047370776534080505
98,678,0.10300168158090879,0.00018275211849035148,0.9896645597433982,0.10193711519241333
99,786,-0.1448720947889085,0.0001802640909513005,0.9898038340085394,-0.14339496195316315
100,646,-0.1759395300419338,0.00016072126408038986,0.9908991628425379,-0.17433832585811615
101,811,-0.18729545493207128,0.00011894012810604457,0.9932490467366862,-0.1860310286283493
102,771,0.03967759889658014,0.000151896413218118,0.9913945695865853,0.039336156100034714
103,721,-0.054930615716777875,0.00020838757920704857,0.9882318225918463,-0.05428418144583702
104,727,-0.12474772523181639,0.000157479989666119,0.9910810629614734,-0.12363510578870773
105,542,-0.16846800946743945,0.000281760634730481,0.9841539184911312,-0.16579845547676086
106,679,0.021478348380072655,0.00025613852005244224,0.9855741064434367,0.021168503910303116
107,388,0.05903557377156907,0.00043164473843376516,0.9759274267315741,0.05761443451046944
108,598,0.04324529896860936,0.00022161799972405952,0.9874940109634601,0.04270447418093681
109,684,0.09487567977382044,0.00020055439157066804,0.9886691703441026,0.09380065649747849
110,743,0.02411129719716864,0.00018811074280606943,0.9893647289079438,0.02385486662387848
111,384,-0.15424150659237057,0.00035927344134550004,0.9798823344137032,-0.1511385291814804
112,558,0.016000306934759182,0.00020471440459748027,0.9884368575350356,0.015815293416380882
113,95,0.1059165516181996,0.0007438283047829395,0.9592270026593064,0.10159801691770554
114,745,-0.023441876856072637,0.00016948482223933266,0.9904076866563574,-0.023217014968395233
115,802,-0.07592425530804252,0.00015060200540939657,0.9914672763123383,-0.07527641206979752
116,0,0.0,0.0,0.0,0.0
117,596,0.07911359860355523,0.00025621694927610014,0.9855697529979547,0.07797197252511978
118,760,-0.055857456245116496,0.00017068887736430597,0.9903401991590134,-0.05531788617372513
119,743,-0.05580331295450415,0.00017445733703515574,0.9901290357722186,-0.05525248125195503
120,663,0.2567300810822782,0.0001859149214437731,0.9894875696170498,0.2540312111377716
121,665,-0.03839310999763639,0.00015506134057784195,0.9912168409140615,-0.0380558967590332
122,719,-0.1477148635643217,0.00017784280125362592,0.9899394100791202,-0.14622876048088074
123,0,0.0,0.0,0.0,0.0
124,615,-0.06205690048513858,0.00020359078418911696,0.9884995945120083,-0.06134321913123131
