feature,rawIC_fold2,rawIC_fold3,rawIC_pooled,rawIC_valid,basecorr_fold2,basecorr_valid,partial_fold2,partial_fold3,partial_valid,pool_pass
F1_rank_num0,-0.005726112380428531,-0.009231683412296824,-0.007478897896362678,-0.008631811440092443,-0.1395457176049478,-0.03606673584978957,0.01139285338622546,-0.005106669535408783,-0.005320574633663257,False
F1_rank_num2,-0.021270940332561737,-0.030777550774778572,-0.026024245553670153,-0.03403438368362051,-0.2761271869496549,-0.24265589770823398,0.012603347906191102,-0.004294742416334211,-0.011756483539426894,True
F1_rank_num5,0.0006285061122855747,0.00888125853710632,0.004754882324695947,0.010506870997239232,0.014358580505888674,0.08733171220141524,-0.0011329528013725408,0.0033350542794878266,0.0024890680828262204,False
F1_rank_num6,-0.011417969920530159,0.011674274500045947,0.0001281522897578942,-0.04840156357024443,-0.21043659228710668,-0.04395403677322345,0.014397632888671144,0.03672356959900756,-0.04436620464669802,False
F1_rank_num7,-0.043230026607954435,-0.058305870620703734,-0.05076794861432908,-0.04582839848680782,-0.49140804626927975,-0.4506504549763792,0.017054141662672925,-0.011101141686534637,-0.004454807608870029,True
F1_rank_num9,0.015661181423848314,0.0042294186973255345,0.009945300060586925,-0.04805091992133122,-0.256895159059613,-0.10755733262168406,0.04717615378588601,0.02616716097614314,-0.038176230954146934,False
F1_rank_num10,0.022422735654330193,0.006722361766324797,0.014572548710327496,-0.03216303344697522,-0.17633905607567896,-0.07745940324804075,0.04405537559552601,0.02320511694595276,-0.025051593473389436,True
F1_rank_num12,-0.0019419131571026258,0.0005333209097803889,-0.0007042961236611184,-0.0077847231886799635,-0.12075674239163316,-0.05480341192465128,0.01287208883862559,0.0035364594879869257,-0.0027532982369300176,False
F1_rank_num13,-0.005142406584549612,0.0020334024063582866,-0.0015545020890956628,0.00609279529540426,0.03850839982488475,0.033493542506550615,-0.009866478305597202,-0.005562963739414436,0.0030177997874301734,False
F1_rank_num14,0.00937643141074787,0.007102127756405296,0.008239279583576583,-0.007078530328879197,-0.10330382141794651,-0.048337534874467014,0.02204937195504201,0.00967523215152282,-0.0026407285473430547,False
F1_rank_num16,-0.009868089650714387,-0.0026923075439824044,-0.006280198597348395,0.010016543726735428,0.1225569980165393,0.034505426028452905,-0.024902940519076884,-0.006512013751406986,0.006848648601354972,False
F1_rank_num17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F1_rank_num18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F1_rank_num19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F1_rank_num20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F1_rank_num21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F1_rank_num22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F1_rank_num23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F1_rank_num24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F1_rank_num25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F1_rank_num26,0.004534874793447487,-0.001112525918268287,0.0017111744375896,0.007225759994715586,-0.03393718969753774,-0.013866146732847633,0.008698166928956145,0.000942004469423345,0.008498791621874072,False
F1_rank_num27,0.0019012116053356777,-0.0007737988993240548,0.0005637063530058114,0.0038391635261280036,-0.027885480687432768,-0.0039719799689320046,0.005322101887517484,-0.0005180925902158677,0.004203825477303822,False
F1_rank_num28,-0.006087229630948016,-0.011190630167626989,-0.008638929899287502,0.004186391450971432,-0.02573889227797447,-0.05552499006300442,-0.002929675079359134,-0.002484541460196917,0.00928406348702589,False
F1_rank_num29,0.007852822846143278,0.00812016264054991,0.007986492743346594,0.010509335199444398,-0.0003156446304877068,0.039938589808050554,0.007891544991949604,0.001215385962529924,0.006842628871484138,False
F1_rank_num30,-0.006933928931014574,-0.007194210364221497,-0.007064069647618036,-0.01097913134023617,-0.1198293597685963,-0.02591258909715673,0.007766305106449941,-0.005069125606448923,-0.00860013261061086,False
F1_rank_num31,-0.01929441097907318,-0.0007902310332482303,-0.010042321006160706,-0.005265790147131729,-0.08890078980523138,-0.004443922652705587,-0.008388382450037927,0.0012866149027662595,-0.004857799795195042,True
F1_rank_num32,-0.01735248450157831,0.00038850847772605633,-0.008481988011926128,-0.006236479682046407,-0.059511716260204864,0.004388789327028782,-0.010051801608123828,0.0007501669073302157,-0.006639408320109063,False
F1_rank_num33,-0.017508424659159517,-0.007436054721113082,-0.012472239690136298,-0.007573347627369727,-0.05744966432590479,-0.027660846063639295,-0.010460706866162505,-0.004922127392199603,-0.005033843859566778,True
F1_rank_num34,0.00374543268091235,0.01859245791284137,0.011168945296876861,0.019367992782680348,0.11337713009366669,0.18261630283180813,-0.010163265071387134,-0.001577960633926595,0.0026022442572498257,True
F1_rank_num35,0.0012599735858086752,0.012989353078545382,0.007124663332177029,0.012261655223708302,0.0899309633060241,0.1453247123274113,-0.009772432915954561,-0.0029330258880239397,-0.0010804042946904284,False
F1_rank_num36,-0.0033358165709956016,0.005720209575842296,0.0011921965024233473,0.002802192059309757,0.04412880647170766,0.08638190497099044,-0.00874937952569051,-0.002457094357976716,-0.0051284103755951105,False
F1_rank_num37,0.018489488265566137,0.010587288155861109,0.014538388210713623,0.0022190498129471105,0.0620595401533759,0.09922660173853329,0.010876247518275286,0.0007163447010393384,-0.006890806349859447,True
F1_rank_num44,0.0070430955151951176,-6.690834696227525e-05,0.0034880935841164213,-0.0026537012324456904,-0.07681543751432897,-0.05101973684165592,0.016466536576146176,0.003763028734811354,0.0020303497775491035,False
F1_rank_num45,-0.007276796517770775,-0.011489603979803904,-0.00938320024878734,-0.01331327343621663,-0.1456764471774704,-0.0656532289456197,0.010594265060047726,-0.004698687244780849,-0.007285741888835792,False
F1_rank_num46,0.020711107690341717,0.020638321463128852,0.020674714576735285,0.016999722271345042,0.09641096501949412,0.12066768646265943,0.008883757929805062,0.006005861648474584,0.005921389970193758,True
F1_rank_num52,-0.020287419190719688,-0.0073018991492441706,-0.013794659169981929,0.018339797593265088,-0.013229198294732186,0.05378713533184686,-0.018664508816866928,-0.013512273884433556,0.013401675580645023,True
F1_rank_num54,0.008422471069590565,0.009748927940423431,0.009085699505006997,0.02475179007860671,0.22288152216191623,0.13468739784718675,-0.018919830889909284,-0.009818151774455351,0.012386327593418215,False
