feature,rawIC_fold2,rawIC_fold3,rawIC_pooled,rawIC_valid,residIC_fold2,residIC_fold3,residIC_valid,pool_pass
F1_rank_num0,-0.005726112380428531,-0.009231683412296824,-0.007478897896362678,-0.008631811440092443,0.09999740750294694,0.0237464246277688,0.020539106591254037,False
F1_rank_num2,-0.021270940332561737,-0.030777550774778572,-0.026024245553670153,-0.03403438368362051,0.1915449425990784,0.17232572632930948,0.1535294530740694,True
F1_rank_num5,0.0006285061122855747,0.00888125853710632,0.004754882324695947,0.010506870997239232,-0.010211677431035444,-0.03315840074164683,-0.0551575071037051,False
F1_rank_num6,-0.011417969920530159,0.011674274500045947,0.0001281522897578942,-0.04840156357024443,0.1488808236409438,0.19165477178750412,-0.0045826316203062085,False
F1_rank_num7,-0.043230026607954435,-0.058305870620703734,-0.05076794861432908,-0.04582839848680782,0.3376323098478207,0.30801019549653996,0.29978203017052857,True
F1_rank_num9,0.015661181423848314,0.0042294186973255345,0.009945300060586925,-0.04805091992133122,0.20382201324205337,0.16738751525988854,0.0446917798832706,False
F1_rank_num10,0.022422735654330193,0.006722361766324797,0.014572548710327496,-0.03216303344697522,0.14853063925440438,0.1293958007134681,0.034393942580351895,True
F1_rank_num12,-0.0019419131571026258,0.0005333209097803889,-0.0007042961236611184,-0.0077847231886799635,0.08888551169733687,0.022763763608623932,0.03520852285285628,False
F1_rank_num13,-0.005142406584549612,0.0020334024063582866,-0.0015545020890956628,0.00609279529540426,-0.032714161981153456,-0.05475713111609164,-0.01994143457409022,False
F1_rank_num14,0.00937643141074787,0.007102127756405296,0.008239279583576583,-0.007078530328879197,0.08412507615947437,0.024696795906218545,0.03088161746968282,False
F1_rank_num16,-0.009868089650714387,-0.0026923075439824044,-0.006280198597348395,0.010016543726735428,-0.0986017949614268,-0.030665571743216505,-0.01817731414519442,False
F1_rank_num17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F1_rank_num18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F1_rank_num19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F1_rank_num20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F1_rank_num21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F1_rank_num22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F1_rank_num23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F1_rank_num24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F1_rank_num25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
F1_rank_num26,0.004534874793447487,-0.001112525918268287,0.0017111744375896,0.007225759994715586,0.0286495012950195,0.013597348657716527,0.015586625318963725,False
F1_rank_num27,0.0019012116053356777,-0.0007737988993240548,0.0005637063530058114,0.0038391635261280036,0.022152993391442027,0.0008164822104990727,0.006012392783519139,False
F1_rank_num28,-0.006087229630948016,-0.011190630167626989,-0.008638929899287502,0.004186391450971432,0.014887517894725097,0.0537253232489594,0.04249710546407139,False
F1_rank_num29,0.007852822846143278,0.00812016264054991,0.007986492743346594,0.010509335199444398,0.005790375462816044,-0.04329990625329398,-0.020320707923568194,False
F1_rank_num30,-0.006933928931014574,-0.007194210364221497,-0.007064069647618036,-0.01097913134023617,0.08434006652180397,0.010822090671695855,0.011291920453604935,False
F1_rank_num31,-0.01929441097907318,-0.0007902310332482303,-0.010042321006160706,-0.005265790147131729,0.05183500295173368,0.014854127283728083,-0.00024082988189272068,True
F1_rank_num32,-0.01735248450157831,0.00038850847772605633,-0.008481988011926128,-0.006236479682046407,0.03103897519176028,0.003002663780068292,-0.007497272550611185,False
F1_rank_num33,-0.017508424659159517,-0.007436054721113082,-0.012472239690136298,-0.007573347627369727,0.029479489440144897,0.012812192626662586,0.014758026327130873,True
F1_rank_num34,0.00374543268091235,0.01859245791284137,0.011168945296876861,0.019367992782680348,-0.08360813446560798,-0.13513488986493527,-0.11958137158788446,True
F1_rank_num35,0.0012599735858086752,0.012989353078545382,0.007124663332177029,0.012261655223708302,-0.0677520089425065,-0.10796116608127543,-0.09761958949881677,False
F1_rank_num36,-0.0033358165709956016,0.005720209575842296,0.0011921965024233473,0.002802192059309757,-0.03653760021218111,-0.05642138004205338,-0.06138776763349241,False
F1_rank_num37,0.018489488265566137,0.010587288155861109,0.014538388210713623,0.0022190498129471105,-0.03280812029177438,-0.06525473620099163,-0.0721359295436621,True
F1_rank_num44,0.0070430955151951176,-6.690834696227525e-05,0.0034880935841164213,-0.0026537012324456904,0.0627619512412044,0.028247695084603525,0.035620806450156826,False
F1_rank_num45,-0.007276796517770775,-0.011489603979803904,-0.00938320024878734,-0.01331327343621663,0.10381228094089179,0.04191734521440895,0.03885683257741595,False
F1_rank_num46,0.020711107690341717,0.020638321463128852,0.020674714576735285,0.016999722271345042,-0.057166161209871835,-0.09264771939109998,-0.076750002640571,True
F1_rank_num52,-0.020287419190719688,-0.0073018991492441706,-0.013794659169981929,0.018339797593265088,-0.004853075537436371,-0.051134355880507514,-0.025484905513940878,True
F1_rank_num54,0.008422471069590565,0.009748927940423431,0.009085699505006997,0.02475179007860671,-0.16100537603993306,-0.13808755859964114,-0.08193316683058344,False
F1_rank_num58,-0.034066360981000986,-0.010897892216202411,-0.022482126598601698,-0.013827577960614361,0.21470793185826909,0.16398137008711433,0.14254687739324168,True
F1_rank_num59,0.011464287575072278,0.012745146240916005,0.012104716907994141,0.00024859150072471494,0.009022148703936465,0.006121550222180183,-0.020848156911606918,True
F1_rank_num62,0.0012953798946546144,0.0017497933645940517,0.001522586629624333,-0.018822181013879353,0.02439060348606145,0.08545735876619943,0.03397796720504785,False
F1_rank_num63,0.016969136873346353,0.012818870413357903,0.014894003643352128,-0.005751035560618904,-0.07683988093460978,0.01757839071622251,-0.03305347773228242,True
F1_rank_num65,0.0037558356563770776,-0.0008068040053107165,0.0014745158255331805,-0.0163467758000426,-0.05867495303732742,0.041546634076294824,0.016136255073912198,False
F1_rank_num66,-0.03662296357297556,-0.019990830438710767,-0.028306897005843164,-0.06096661845425402,0.24405269031071422,0.28187262301389354,0.13453799418238518,True
F1_rank_num69,-0.04456821450330592,-0.026958281356286865,-0.03576324792979639,-0.07053405050305797,0.28486213869777627,0.32491752798685053,0.15696342419200812,True
F1_rank_num70,0.012985891743629132,-0.0064169369198325225,0.0032844774118983046,0.05241358239458072,-0.2486857068529798,-0.26361230482190046,-0.12688988669599036,False
F1_rank_num77,-0.017864032871402213,-0.030867076589699435,-0.024365554730550826,-0.016561087792157425,0.07222618622974875,0.08144336051085725,0.13625473081253914,True
F1_rank_num78,0.020261008839830133,0.01750871845075164,0.018884863645290885,-0.005186812330785673,-0.01331932717432461,0.00751056024020302,-0.05071389022155252,True
F1_rank_num80,0.0047363098862645125,0.00506515534455985,0.004900732615412181,-0.0012341511413752066,0.04920459191815312,0.023884418542517313,0.026853023092583618,False
F1_rank_num81,-0.0019729552696838857,0.00249060430196156,0.00025882451613883713,-0.006173148863586126,0.07813970921986156,0.056023766355803,0.058062776790827435,False
F1_rank_num82,-0.01719905588232074,-0.006186887276669968,-0.011692971579495353,-0.0070872544436874916,0.050663462363126806,0.013820798487131941,0.015380509514459066,True
F1_rank_num83,-0.01835882457657319,-9.351078632393133e-05,-0.009226167681448561,-0.007598839007840535,0.06772527765453827,0.022489842337551105,0.014624110121213252,False
F1_rank_num89,-0.00042289129350218745,-0.003892633075463285,-0.002157762184482736,-0.010288949355134951,0.045350975272637144,0.0433146482509811,0.01933096282349444,False
F1_rank_num92,-0.016688299097919936,-0.01142208123151562,-0.014055190164717778,-0.009073415936493105,0.15473155176693457,0.07458594839748722,0.06381723374602769,True
F1_rank_num93,-0.013281656993313488,-0.010962902313003762,-0.012122279653158624,-0.009884716102966856,0.13262700694813484,0.05968674653237823,0.054853174113340716,True
F1_rank_num94,0.012374660803844128,-0.0030295916954133045,0.004672534554215411,0.005352189046526685,-0.011179785012024726,-0.07717281923576849,-0.025473330969135524,False
F1_rank_num95,0.01450964332410081,0.009677483506517162,0.012093563415308987,0.01751888258520763,-0.11319311050866479,-0.11302138701705702,-0.07036909904582647,True
F1_rank_num96,-0.01196148753144078,-0.012212854721459417,-0.012087171126450098,-0.014742380440290795,0.12389626960086914,0.06125162722040338,0.05829211092671441,True
F1_rank_num97,-0.020662468480893724,-0.022848755642912773,-0.021755612061903247,-0.025367852972200268,0.16641183783178692,0.11332066794462427,0.1009464295756053,True
F1_rank_num98,-0.0030963736262996696,-0.0015346114587208915,-0.0023154925425102803,-0.0033288639320844054,0.0706290851515433,0.0014087337852913755,0.009143207429734535,False
F2_z20_num0,-0.007675719944956463,-0.0152854375057684,-0.011480578725362432,-0.011545450874851116,0.07205729872609859,0.005476216850287328,0.013762866103868038,True
F2_z20_num1,0.004585910808385804,-0.0016186884692448234,0.0014836111695704902,0.00010203250201666867,-0.01633428241423399,-0.025111429526460186,4.540551393530546e-05,False
F2_z20_num2,-0.0039405919951850206,-0.02530546427768412,-0.01462302813643457,-0.012330049172482671,0.05026966279416688,0.04480521659975687,0.05293098356764881,True
F2_z20_num3,0.014569315329164077,0.01537395322640734,0.014971634277785709,0.006064615020192163,-0.008825533257403345,-0.05104736757806933,-0.03793729074464336,True
F2_z20_num4,0.00933186092333418,-0.006457947491454617,0.001436956715939782,-0.0016814599897873584,-0.0018457042639130267,-0.02348364999744711,0.004400422443609644,False
F2_z20_num5,0.01618403270975097,-0.0007216294181661009,0.007731201645792435,0.0008618463840144659,-0.008394007893418456,-0.009762451010646739,-0.004860032203464993,False
F2_z20_num6,-0.00665726232472278,-0.044444899079886135,-0.025551080702304458,-0.02080347328139854,0.1086223126796962,0.15893708355573935,0.15800506922010615,True
