weight,mean_rankic,mean_delta,worst_delta,all_positive,fold_std,qualified,selected
0.0,0.10551180363288457,0.0,0.0,False,0.0075062633573206375,False,False
0.025,0.105648390254699,0.0001365866218144482,9.569287756248934e-05,True,0.007547157101572596,False,False
0.05,0.10578620958025729,0.0002744059473727342,0.00019245065323876542,True,0.007588218651454606,False,False
0.075,0.105916498052909,0.00040469442002443595,0.0002837167639776622,True,0.007627241013367411,False,False
0.1,0.1060429820306266,0.0005311783977420478,0.0003740223458754688,True,0.0076634194091872165,True,False
0.15,0.10628711770251102,0.0007753140696264635,0.000546913415133507,True,0.007734664011813594,True,False
0.2,0.10650641770137692,0.0009946140684923624,0.000704212763422446,True,0.007796664662390554,True,True
