stage,fold,weight,anchor_rankic,candidate_rankic,delta,late_delta,worst_quarter_delta,seed
dev,fold_1,0.0,0.1130180669902052,0.1130180669902052,0.0,0.0,0.0,
dev,fold_1,0.025,0.1130180669902052,0.1131955473562716,0.00017748036606640705,0.00022859567300531625,0.00019391501536662747,
dev,fold_1,0.05,0.1130180669902052,0.1133744282317119,0.000356361241506703,0.000457516530387142,0.00039802061590515914,
dev,fold_1,0.075,0.1130180669902052,0.1135437390662764,0.0005256720760712097,0.0006763889597224126,0.0005847488292850533,
dev,fold_1,0.1,0.1130180669902052,0.11370640143981382,0.0006883344496086269,0.0008950483480190119,0.0007656806305093855,
dev,fold_1,0.15,0.1130180669902052,0.11402178171432462,0.00100371472411942,0.001314760597662723,0.001132380196941396,
dev,fold_1,0.2,0.1130180669902052,0.11430308236376747,0.0012850153735622788,0.00169297717679609,0.001460788256726256,
dev,fold_2,0.0,0.09800554027556392,0.09800554027556392,0.0,0.0,0.0,
dev,fold_2,0.025,0.09800554027556392,0.09810123315312641,9.569287756248934e-05,4.1874395349639215e-05,2.3292670737265486e-05,
dev,fold_2,0.05,0.09800554027556392,0.09819799092880269,0.00019245065323876542,8.439991531881963e-05,4.688618641209008e-05,
dev,fold_2,0.075,0.09800554027556392,0.09828925703954158,0.0002837167639776622,0.00011945671479028641,5.682398560521995e-05,
dev,fold_2,0.1,0.09800554027556392,0.09837956262143939,0.0003740223458754688,0.00015473196565610192,6.930489690394614e-05,
dev,fold_2,0.15,0.09800554027556392,0.09855245369069743,0.000546913415133507,0.00021814500428954386,8.056311528632787e-05,
dev,fold_2,0.2,0.09800554027556392,0.09870975303898637,0.000704212763422446,0.0002686431098141706,7.942231147223255e-05,
dev_seed,fold_1,0.2,0.1130180669902052,0.11404789898521693,0.0010298319950117346,,,42.0
dev_seed,fold_1,0.2,0.1130180669902052,0.11410903099925343,0.0010909640090482342,,,2026.0
dev_seed,fold_1,0.2,0.1130180669902052,0.1142795494964085,0.0012614825062033097,,,3407.0
dev_seed,fold_2,0.2,0.09800554027556392,0.09840968609631114,0.00040414582074721483,,,42.0
dev_seed,fold_2,0.2,0.09800554027556392,0.09878928901616155,0.0007837487405976257,,,2026.0
dev_seed,fold_2,0.2,0.09800554027556392,0.09869158137796238,0.000686041102398463,,,3407.0
shadow,fold_3,0.2,0.08506900620216068,0.08559810449627989,0.0005290982941192068,0.0008255720090181301,0.00044859095732169285,
