window,time,baseline,method,alpha,history_w,distance_from_snapshot,baseline_ic,candidate_ic,delta,rank_correlation_to_baseline
fold_2,1951,exp016_static_strict_oof_proxy,momentum,0.05,10,6,-0.001972738669712881,-0.017109985439372716,-0.015137246769659836,0.9986475280744572
fold_2,1951,exp016_static_strict_oof_proxy,momentum,0.1,10,6,-0.001972738669712881,-0.03407189271285009,-0.03209915404313721,0.9940506805476587
fold_2,1951,exp016_static_strict_oof_proxy,momentum,0.15,10,6,-0.001972738669712881,-0.05304278596340832,-0.051070047293695436,0.9853263230732596
fold_2,1951,exp016_static_strict_oof_proxy,shuffled,0.05,10,6,-0.001972738669712881,-0.0052111860510273104,-0.0032384473813144295,0.9986245395083447
fold_2,1951,exp016_static_strict_oof_proxy,shuffled,0.1,10,6,-0.001972738669712881,-0.009243571217291765,-0.007270832547578885,0.9940256132842502
fold_2,1951,exp016_static_strict_oof_proxy,shuffled,0.15,10,6,-0.001972738669712881,-0.013450384782842773,-0.011477646113129892,0.9851992338882195
fold_2,1952,exp016_static_strict_oof_proxy,momentum,0.05,10,7,-0.07462937173840588,-0.08384627545955861,-0.009216903721152733,0.9986609030054595
fold_2,1952,exp016_static_strict_oof_proxy,momentum,0.1,10,7,-0.07462937173840588,-0.09337769872637315,-0.018748326987967273,0.9940498957852824
fold_2,1952,exp016_static_strict_oof_proxy,momentum,0.15,10,7,-0.07462937173840588,-0.10378903223155264,-0.029159660493146763,0.9854846052921247
fold_2,1952,exp016_static_strict_oof_proxy,shuffled,0.05,10,7,-0.07462937173840588,-0.07370290026104812,0.0009264714773577626,0.998661956306781
fold_2,1952,exp016_static_strict_oof_proxy,shuffled,0.1,10,7,-0.07462937173840588,-0.07213012895990363,0.0024992427785022475,0.9940831831691154
fold_2,1952,exp016_static_strict_oof_proxy,shuffled,0.15,10,7,-0.07462937173840588,-0.0710816656517725,0.0035477060866333787,0.9855117011122424
fold_2,1953,exp016_static_strict_oof_proxy,momentum,0.05,10,8,0.15257700026355409,0.15869805399143813,0.006121053727884046,0.9987349795831093
fold_2,1953,exp016_static_strict_oof_proxy,momentum,0.1,10,8,0.15257700026355409,0.16354096851706904,0.01096396825351495,0.9946434941927131
fold_2,1953,exp016_static_strict_oof_proxy,momentum,0.15,10,8,0.15257700026355409,0.16880488663558296,0.016227886372028877,0.9870171172228239
fold_2,1953,exp016_static_strict_oof_proxy,shuffled,0.05,10,8,0.15257700026355409,0.15392863223692116,0.0013516319733670734,0.998658483251993
fold_2,1953,exp016_static_strict_oof_proxy,shuffled,0.1,10,8,0.15257700026355409,0.15489071290009906,0.002313712636544979,0.994153707875763
fold_2,1953,exp016_static_strict_oof_proxy,shuffled,0.15,10,8,0.15257700026355409,0.15457936398138789,0.0020023637178337994,0.9854790334098842
fold_2,1954,exp016_static_strict_oof_proxy,momentum,0.05,10,9,0.17720738594207955,0.17884821960626926,0.0016408336641897114,0.9986303955727697
fold_2,1954,exp016_static_strict_oof_proxy,momentum,0.1,10,9,0.17720738594207955,0.18080201404835505,0.0035946281062755048,0.993889703293395
fold_2,1954,exp016_static_strict_oof_proxy,momentum,0.15,10,9,0.17720738594207955,0.18139149276294067,0.004184106820861122,0.9851045550874615
fold_2,1954,exp016_static_strict_oof_proxy,shuffled,0.05,10,9,0.17720738594207955,0.17731852410126106,0.00011113815918151193,0.9986331031829443
