fold,stage,time_points,mean_rank_ic,std_rank_ic,icir,min_rank_ic,max_rank_ic,best_iteration,median_rank_ic,mean_rank_ic_stage,positive_folds,predecessor,relative_delta,median_rank_ic_stage,std_across_folds,mean_relative_delta,median_relative_delta
fold_1,numeric,243,0.1676919968291745,0.1115595926852694,1.5031607125194977,-0.128183488646804,0.4733737085856785,84,0.1426260345737464,0.1421270848327906,0,none,0.0,0.1426260345737464,0.025818003068498675,0.0,0.0
fold_1,raw_category,243,0.1518784524842835,0.1029530840642297,1.4752200370173514,-0.0941392758704741,0.4564376652354077,163,0.1223600977404271,0.12460041942519827,0,numeric,-0.01581354434489099,0.1223600977404271,0.026229726644470194,-0.01752666540759233,-0.016500515044566705
fold_1,category_extended,243,0.1523956983755812,0.1056944938126912,1.441850874896592,-0.0980595503721898,0.4173316708229426,111,0.1248898861201295,0.1271434848785471,3,raw_category,0.0005172458912977018,0.1248898861201295,0.024204227665420783,0.0025430654533488326,0.0025297883797023996
fold_1,interaction,243,0.1539050891411793,0.1045501423272289,1.4720696281739685,-0.1052460952880955,0.4308441302758142,131,0.1232364056881424,0.1266404626484843,1,category_extended,0.001509390765598112,0.1232364056881424,0.025732025182481032,-0.000503022230062794,-0.0013649770237993963
fold_2,numeric,243,0.1426260345737464,0.0885435390450599,1.6108011506199658,-0.1241998387489921,0.3784480528003299,318,0.1426260345737464,0.1421270848327906,0,none,0.0,0.1426260345737464,0.025818003068498675,0.0,0.0
fold_2,raw_category,243,0.1223600977404271,0.0963424925405243,1.2700532705125838,-0.1520863255395346,0.3875156094725591,239,0.1223600977404271,0.12460041942519827,0,numeric,-0.0202659368333193,0.1223600977404271,0.026229726644470194,-0.01752666540759233,-0.016500515044566705
fold_2,category_extended,243,0.1248898861201295,0.0989358862959053,1.2623315037235214,-0.1415493221832636,0.3926625166407289,322,0.1248898861201295,0.1271434848785471,3,raw_category,0.0025297883797023996,0.1248898861201295,0.024204227665420783,0.0025430654533488326,0.0025297883797023996
fold_2,interaction,243,0.1232364056881424,0.0992990709501218,1.2410630281731874,-0.165050906568166,0.3806828792679954,296,0.1232364056881424,0.1266404626484843,1,category_extended,-0.0016534804319870977,0.1232364056881424,0.025732025182481032,-0.000503022230062794,-0.0013649770237993963
fold_3,numeric,244,0.1160632230954509,0.0932753194865839,1.244307966290532,-0.1639095869349183,0.4371576697354358,242,0.1426260345737464,0.1421270848327906,0,none,0.0,0.1426260345737464,0.025818003068498675,0.0,0.0
fold_3,raw_category,244,0.0995627080508842,0.0911238615788278,1.092608525646779,-0.2210125063281645,0.4315543847149045,240,0.1223600977404271,0.12460041942519827,0,numeric,-0.016500515044566705,0.1223600977404271,0.026229726644470194,-0.01752666540759233,-0.016500515044566705
fold_3,category_extended,244,0.1041448701399306,0.0914007056226936,1.139431795743958,-0.2095085594284964,0.4585682410515065,253,0.1248898861201295,0.1271434848785471,3,raw_category,0.004582162089046396,0.1248898861201295,0.024204227665420783,0.0025430654533488326,0.0025297883797023996
fold_3,interaction,244,0.1027798931161312,0.0899388760441746,1.142774933785581,-0.2061929762061012,0.4545422158888492,433,0.1232364056881424,0.1266404626484843,1,category_extended,-0.0013649770237993963,0.1232364056881424,0.025732025182481032,-0.000503022230062794,-0.0013649770237993963
