trial,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,max_bin,time_points,mean_rank_ic,std_rank_ic,icir,min_rank_ic,max_rank_ic,best_iteration
29,0.022869460463531655,79,147,0.8093603740425863,0.6477639824328912,2.3572444673780075,0.2387048437225203,127,244,0.1181912144349363,0.08707344108851306,1.3573738783883709,-0.19120965814009086,0.3869375108398608,1558
28,0.022711647553123392,111,143,0.7777560133732679,0.6353676722744925,3.4803223775871066,0.1853359811806142,127,244,0.11771530651306254,0.09033258077601178,1.303132330570172,-0.19975810118453313,0.3751683518255498,1133
25,0.01968130831511115,127,167,0.7434017736286015,0.7617406806290619,2.739096040858001,0.02328287530029328,127,244,0.11769120374387855,0.08806551020362163,1.336405176916111,-0.1786147478355435,0.3765945259289468,1339
0,0.023546714953767645,127,539,0.8394633936788146,0.6624074561769746,0.004207053950287938,0.015920758785234034,127,244,0.11759703969836642,0.09281369719584326,1.267022468140975,-0.19695344836476308,0.359555132117394,433
20,0.018556290069791023,127,268,0.7726113862460608,0.7071460680166927,0.24437093741478988,0.48615392472075475,127,244,0.1174500194390936,0.09126317660896961,1.2869376653666718,-0.20363220880032626,0.3581092470456986,652
27,0.01579438386816674,127,154,0.7206604302749543,0.6941222559827258,0.4788919846672624,0.02260215080269468,127,244,0.11742035602058465,0.08918139223889117,1.3166463661617824,-0.18809830171609646,0.3687813184083101,1105
14,0.027993201779208842,127,648,0.8578694741072341,0.7626685036362159,0.0071540297573690495,0.04407279338333903,127,244,0.117408115095174,0.08918318710716996,1.3164826118412498,-0.1753797349683359,0.36378342778660594,448
26,0.0195836148345524,95,131,0.7457522523451572,0.7106737383468139,2.4448778222644063,1.3322879497865965,127,244,0.11730203089259805,0.08845586900852714,1.326107947470282,-0.19409474858554468,0.38201867502917974,1404
6,0.030812039772373744,127,122,0.6783931449676581,0.6180909155642152,0.02001342062287998,0.224635331716758,255,244,0.11723648643432986,0.09186729054180924,1.2761504746999692,-0.19826602072815738,0.3546619135342399,386
13,0.01885010486557014,111,204,0.6990752672090732,0.6188533618431927,0.06701521675295774,0.04579315111104031,255,244,0.11716788414032085,0.09494568951982847,1.2340516429221517,-0.1992966864010725,0.3589057717277684,536
3,0.02785951277878365,95,111,0.8430179407605753,0.6682096494749166,0.0018205657658407262,19.924621034349894,127,244,0.11716554287886877,0.09064501331740078,1.2925757147677195,-0.19284072318863,0.37657544777413715,596
23,0.020674140910865762,127,240,0.8436206050936838,0.8192179788255745,0.20172008861726315,6.582642039667986,127,244,0.1171277633473221,0.08787950502984997,1.3328222923824775,-0.17321921596752496,0.3767645418195967,817
11,0.017409943184503555,127,942,0.6085763285660035,0.6085582193565989,0.01850375990627371,0.11089670714515434,255,244,0.11711160686665181,0.0913475787791859,1.2820439078056485,-0.19740637875996683,0.3673237614433773,699
5,0.03330504922013556,63,330,0.8186841117373118,0.6739417822102108,7.556810141274429,4.957135786745318,127,244,0.11703732903504796,0.0914277242701008,1.2801076475368658,-0.219092873582615,0.38285019195342496,1381
9,0.031768784709818566,63,115,0.7243929286862649,0.7300733288106989,0.8287522363768158,1.6476487558474695,127,244,0.11699532061314016,0.08935203572053149,1.3093749870352058,-0.18330572391519362,0.3787541543033661,755
21,0.018193994754069468,127,266,0.7718988793706907,0.7063206061098323,5.214100537124436,2.0168797744803344,127,244,0.11698101809639058,0.09052108446290813,1.2923068563581412,-0.19985918727998017,0.3791654127584575,1653
