animal,framework,cols,best_weight,fold_deltas,fold_mean_delta,incumbent_delta,shadow_delta,shadow_second_half_delta,official_valid_delta,official_valid_late_delta,official_valid_worst_quarter_delta,test_anchor_corr
lgbm_cat337,lgbm_lambdarank,legacy_328_cats,0.35,"[0.0010149508983985506, 0.0015995337874224747]",0.0013072423429105126,0.001022282312941429,0.000719171488565512,0.0011784993702550622,0.0007541984297490811,0.00035592376443359386,-0.000612768160842353,0.8663498922840531
catboost_yetirank,catboost,legacy_328,0.35,"[0.0076763479493374, 0.007348515534185085]",0.007512431741761243,0.001022282312941429,0.004024351154031491,0.002416986356063633,0.004340756715335459,0.003734150998415925,0.0036361224668219755,0.8797509640011292
