fold,model,weight,valid_time_count,mean_rankic,median_rankic,rankic_std,icir,positive_ratio,first_half_rankic,second_half_rankic,worst_quarter_rankic,quarter_1_rankic,quarter_2_rankic,quarter_3_rankic,quarter_4_rankic,mean_delta
fold_1,anchor,0.0,243,0.11203110472049536,0.10780738466107154,0.08362777018755943,1.3396399840535418,0.9053497942386831,0.0902052832940877,0.1336780259712768,0.08655670000212834,0.09232008968692575,0.08655670000212834,0.1258719298308463,0.14389810927277427,0.0
fold_1,recent_expert,0.0,243,0.11011508549549742,0.10701702567911027,0.08110905813913194,1.357617607969377,0.9135802469135802,0.09115465377167314,0.12892010384453625,0.08935116821730049,0.08935116821730049,0.09179962479562387,0.12501141751464964,0.13470118222039767,-0.0019160192249979419
fold_1,blend,0.25,243,0.1130180669902052,0.11034075619453246,0.08371014545434427,1.3501119413517868,0.9135802469135802,0.09161534238447402,0.13424535942703691,0.08896457302197108,0.09282212832607732,0.08896457302197108,0.12713486677219277,0.14365291038808584,0.0009869622697098318
fold_1,blend,0.3,243,0.11310455680594919,0.11055152560172044,0.08365743331938003,1.3519964971211644,0.9094650205761317,0.09181351990230067,0.13422107701366615,0.08937438582278243,0.09282891870507613,0.08937438582278243,0.12726877916843876,0.143443503306192,0.001073452085453827
fold_1,blend,0.35,243,0.1131390985887526,0.10994076372973109,0.08358676621823173,1.353552765677816,0.9094650205761317,0.09198038816487326,0.13412437695997717,0.08975840657138193,0.09279898601578945,0.08975840657138193,0.1273373802484277,0.14315366356825562,0.0011079938682572316
fold_2,anchor,0.0,243,0.0971174118037759,0.10526127672854042,0.12471629357117513,0.7787066871767749,0.7695473251028807,0.12619966008800457,0.06827354260384416,0.06562882880555472,0.10542664689256714,0.1477773112370594,0.06912065400126297,0.06562882880555472,0.0
fold_2,recent_expert,0.0,243,0.09646749240332872,0.10265961931473074,0.12814336039640378,0.7528091358374895,0.7654320987654321,0.12565127803337822,0.06752291813090257,0.06374535355739804,0.10453483776618924,0.14757058093159714,0.06948276885245948,0.06374535355739804,-0.0006499194004471742
fold_2,blend,0.25,243,0.09800554027556392,0.10586065702099537,0.12700661912533834,0.7716569494606083,0.7654320987654321,0.12740978240641182,0.06884231652283775,0.06594294243079353,0.10619691632764235,0.14943268385112146,0.06992400213458735,0.06594294243079353,0.0008881284717880272
fold_2,blend,0.3,243,0.09808852434420492,0.10589897286050697,0.12736703257699356,0.7701249087742565,0.7654320987654321,0.12754442727194487,0.06887406324374153,0.06592865428177055,0.10627708174132706,0.14962372343362046,0.06999742693547151,0.06592865428177055,0.0009711125404290311
fold_2,blend,0.35,243,0.09814109826177993,0.10605300826426997,0.12768974094224247,0.768590315381498,0.7654320987654321,0.12762621998026832,0.06889765786885292,0.06588824651757055,0.10629804344372544,0.1497669656624041,0.07008240214892436,0.06588824651757055,0.0010236864580040334
