anchor_w,tcn_w,linear_w,valid_rankic,delta,second_half,worst_quarter
0.85,0.1,0.05,0.09702660498580717,0.0040864514361041715,0.09448762559600822,0.06591570499636201
0.85,0.15,0.0,0.09729088562614387,0.004350732076440864,0.09446465341269601,0.06711183621839822
0.9,0.05,0.05,0.09560396306813145,0.002663809518428442,0.09367040675232112,0.06327005880170035
0.8,0.15,0.05,0.09831258881563497,0.005372435265931966,0.09517231714764468,0.0684935439828036
1.0,0.0,0.0,0.092940153549703,0.0,0.09186783594296577,0.059262187805490904
