model_type,seed,rounds,full_rankic,first_half_rankic,second_half_rankic,worst_quarter_rankic,median_rankic,rankic_std,positive_ratio,runtime,prediction_hash
anchor,42,8,0.092940153549703,0.09402133328542153,0.09186783594296577,0.059262187805490904,0.09688639128597629,0.10905264603155261,0.8024691358024691,,4388d5d909ea186f7d1d4286aab2e829196156e6dfb7989e4990555a3dc2c610
recent,42,16,0.08965672120833612,0.09341389013120431,0.08593034875204884,0.05837909139724855,0.09770526432633234,0.10630773028328912,0.823045267489712,,83817ab4ad35e3fea3bef0844300c5a293552a0478362d06b5ea8af1ff076396
anchor,2026,8,0.08584218928464663,0.08966046262304293,0.08205521326869619,0.05790324314673345,0.09263795498067894,0.1005619495369973,0.8189300411522634,,d176b67027d5947592c42cb65ee5c4c135ef821118dda19bb2fc244ca5bfaf6f
recent,2026,16,0.08856568751151452,0.09141724131703576,0.08573750709784181,0.05568682729087731,0.09814291902476908,0.10811852168220003,0.8189300411522634,,03ac04b4202283c98519615db4daf1b36c46bac81f31c1ce95192b8b372689f1
anchor,3407,8,0.09101067188810072,0.09433401545599346,0.0877145688412563,0.05913442340564169,0.09709803405837558,0.10794221347287614,0.823045267489712,,9e2707443645e7a59b514de1e950f3256775498c18225babcfff2fe7f79d4fd3
recent,3407,16,0.08195548594531582,0.08880717628895331,0.07515995699793769,0.056537132479081306,0.08987483503546911,0.10560765792159037,0.7983539094650206,,41a058aa67d43e264deab753f69420e6f61eead85258702d6eb6d3e327062fce
