window,split,time,baseline,method,baseline_ic,correction_ic,candidate_ic,delta_vs_baseline,mean_neighbor_distance,min_library_time,max_library_time,library_cutoff_exclusive
fold_1,train,1459,exp016_static_strict_oof_proxy,retrieval,0.13392218305935608,0.059432291451308156,0.13194335569608842,-0.0019788273632676545,3.4058914184570312,1135,1458,1459
fold_1,train,1459,exp016_static_strict_oof_proxy,global,0.13392218305935608,0.09749055356168139,0.13642179698991252,0.002499613930556449,3.4058914184570312,486,1458,1459
fold_1,train,1459,exp016_static_strict_oof_proxy,recent,0.13392218305935608,-0.04505705069172233,0.12798046397906326,-0.005941719080292812,3.4058914184570312,486,1458,1459
fold_1,train,1459,exp016_static_strict_oof_proxy,residual,0.13392218305935608,-0.11228847801145793,0.1230110106735917,-0.010911172385764376,3.4058914184570312,486,1458,1459
fold_1,train,1460,exp016_static_strict_oof_proxy,retrieval,0.07061800417429077,0.037345314589718404,0.07064970677622279,3.1702601932012686e-05,3.875023126602173,541,1452,1459
fold_1,train,1460,exp016_static_strict_oof_proxy,global,0.07061800417429077,0.14240709312832495,0.08156282889333537,0.010944824719044594,3.875023126602173,486,1458,1459
fold_1,train,1460,exp016_static_strict_oof_proxy,recent,0.07061800417429077,-0.2866929351968213,0.03925530296869474,-0.03136270120559603,3.875023126602173,486,1458,1459
fold_1,train,1460,exp016_static_strict_oof_proxy,residual,0.07061800417429077,-0.3449949230548384,0.03328221675293368,-0.0373357874213571,3.875023126602173,486,1458,1459
fold_1,train,1461,exp016_static_strict_oof_proxy,retrieval,0.0713222172137768,0.19308300955186336,0.08841040551876184,0.01708818830498504,4.494307518005371,542,1454,1459
fold_1,train,1461,exp016_static_strict_oof_proxy,global,0.0713222172137768,0.31615886869963583,0.10083589944254148,0.029513682228764687,4.494307518005371,486,1458,1459
fold_1,train,1461,exp016_static_strict_oof_proxy,recent,0.0713222172137768,-0.37346839725294767,0.031598578113320404,-0.03972363910045639,4.494307518005371,486,1458,1459
fold_1,train,1461,exp016_static_strict_oof_proxy,residual,0.0713222172137768,-0.40656967780278447,0.02812409290766797,-0.04319812430610882,4.494307518005371,486,1458,1459
fold_1,train,1462,exp016_static_strict_oof_proxy,retrieval,-0.0700034482669515,-0.07307574231798407,-0.07308168392098359,-0.003078235654032091,2.849575996398926,486,1451,1459
fold_1,train,1462,exp016_static_strict_oof_proxy,global,-0.0700034482669515,0.05519685068500427,-0.060675442746434126,0.009328005520517373,2.849575996398926,486,1458,1459
fold_1,train,1462,exp016_static_strict_oof_proxy,recent,-0.0700034482669515,-0.36321818101974135,-0.10761269420854368,-0.03760924594159218,2.849575996398926,486,1458,1459
fold_1,train,1462,exp016_static_strict_oof_proxy,residual,-0.0700034482669515,-0.2782199402987013,-0.10078428422512442,-0.030780835958172922,2.849575996398926,486,1458,1459
fold_1,train,1463,exp016_static_strict_oof_proxy,retrieval,-0.015877558070779257,0.01040818061804592,-0.013034454903843124,0.002843103166936133,2.6801955699920654,976,1422,1459
fold_1,train,1463,exp016_static_strict_oof_proxy,global,-0.015877558070779257,-0.005067355936677627,-0.014557699515125443,0.0013198585556538148,2.6801955699920654,486,1458,1459
fold_1,train,1463,exp016_static_strict_oof_proxy,recent,-0.015877558070779257,-0.26547747725055953,-0.04358629004949072,-0.02770873197871146,2.6801955699920654,486,1458,1459
fold_1,train,1463,exp016_static_strict_oof_proxy,residual,-0.015877558070779257,0.23079297939648633,0.0075028616179368965,0.023380419688716153,2.6801955699920654,486,1458,1459
fold_1,train,1464,exp016_static_strict_oof_proxy,retrieval,0.11128109475496713,0.09809804032680045,0.11583805100142058,0.004556956246453456,2.8743176460266113,794,1452,1459
fold_1,train,1464,exp016_static_strict_oof_proxy,global,0.11128109475496713,0.188819489060816,0.12444902210348863,0.0131679273485215,2.8743176460266113,486,1458,1459
fold_1,train,1464,exp016_static_strict_oof_proxy,recent,0.11128109475496713,-0.39471600800061185,0.06936334189955566,-0.041917752855411466,2.8743176460266113,486,1458,1459
fold_1,train,1464,exp016_static_strict_oof_proxy,residual,0.11128109475496713,-0.34368249794179884,0.07659750731784214,-0.03468358743712499,2.8743176460266113,486,1458,1459
fold_1,train,1465,exp016_static_strict_oof_proxy,retrieval,0.045402505147181894,0.029978388289900453,0.04471522518491287,-0.0006872799622690273,2.9666361808776855,984,1452,1459
fold_1,train,1465,exp016_static_strict_oof_proxy,global,0.045402505147181894,0.11534155784940425,0.05367953325762612,0.008277028110444229,2.9666361808776855,486,1458,1459
