window,time,baseline,lambda,n_features,baseline_ic,candidate_ic,delta,rank_correlation_to_baseline
fold_1,1459,exp016_static_strict_oof_proxy,0.05,10,0.13392218305935608,0.13448132427993753,0.000559141220581455,0.9997698494892457
fold_1,1459,exp016_static_strict_oof_proxy,0.1,10,0.13392218305935608,0.13520728537075918,0.001285102311403108,0.9990541124325119
fold_1,1459,exp016_static_strict_oof_proxy,0.15,10,0.13392218305935608,0.1359394293826654,0.002017246323309324,0.9978280287837821
fold_1,1459,exp016_static_strict_oof_proxy,0.05,20,0.13392218305935608,0.13375027568904554,-0.00017190737031053116,0.9997385514118473
fold_1,1459,exp016_static_strict_oof_proxy,0.1,20,0.13392218305935608,0.13375997459562644,-0.00016220846372963504,0.9989217005384764
fold_1,1459,exp016_static_strict_oof_proxy,0.15,20,0.13392218305935608,0.13394511959663846,2.2936537282386427e-05,0.9975452063812116
fold_1,1459,exp016_static_strict_oof_proxy,0.05,40,0.13392218305935608,0.13445421274844832,0.0005320296890922449,0.9996861700757572
fold_1,1459,exp016_static_strict_oof_proxy,0.1,40,0.13392218305935608,0.13549329240681116,0.0015711093474550797,0.9986813409026043
fold_1,1459,exp016_static_strict_oof_proxy,0.15,40,0.13392218305935608,0.13638251234976234,0.0024603292904062657,0.9968822978567008
fold_1,1460,exp016_static_strict_oof_proxy,0.05,10,0.07061800417429077,0.06985176838441931,-0.0007662357898714639,0.9997583998329684
fold_1,1460,exp016_static_strict_oof_proxy,0.1,10,0.07061800417429077,0.06905309512853876,-0.0015649090457520165,0.9990127842690455
fold_1,1460,exp016_static_strict_oof_proxy,0.15,10,0.07061800417429077,0.06723840595680022,-0.003379598217490551,0.9977751502503499
fold_1,1460,exp016_static_strict_oof_proxy,0.05,20,0.07061800417429077,0.0694822323428086,-0.0011357718314821685,0.9997213294378783
fold_1,1460,exp016_static_strict_oof_proxy,0.1,20,0.07061800417429077,0.06819989099985593,-0.002418113174434841,0.9988717557964167
fold_1,1460,exp016_static_strict_oof_proxy,0.15,20,0.07061800417429077,0.06714961827999333,-0.003468385894297446,0.997421439221879
fold_1,1460,exp016_static_strict_oof_proxy,0.05,40,0.07061800417429077,0.0708081829296129,0.00019017875532212347,0.9996870250778307
fold_1,1460,exp016_static_strict_oof_proxy,0.1,40,0.07061800417429077,0.07114006833500525,0.0005220641607144721,0.9987011559835446
fold_1,1460,exp016_static_strict_oof_proxy,0.15,40,0.07061800417429077,0.07116017130987183,0.0005421671355810564,0.9969556228046457
fold_1,1461,exp016_static_strict_oof_proxy,0.05,10,0.0713222172137768,0.06947910613975364,-0.001843111074023157,0.9998002981234214
fold_1,1461,exp016_static_strict_oof_proxy,0.1,10,0.0713222172137768,0.06700448611549543,-0.0043177310982813605,0.9991910113762481
fold_1,1461,exp016_static_strict_oof_proxy,0.15,10,0.0713222172137768,0.06510249447714113,-0.006219722736635666,0.9981945696658928
fold_1,1461,exp016_static_strict_oof_proxy,0.05,20,0.0713222172137768,0.06900395148518575,-0.0023182657285910485,0.9997630488975393
fold_1,1461,exp016_static_strict_oof_proxy,0.1,20,0.0713222172137768,0.06682511821461809,-0.004497098999158705,0.999032587611584
fold_1,1461,exp016_static_strict_oof_proxy,0.15,20,0.0713222172137768,0.0642073005272904,-0.007114916686486394,0.9977700985250135
fold_1,1461,exp016_static_strict_oof_proxy,0.05,40,0.0713222172137768,0.07057126444896579,-0.0007509527648110054,0.9996901487461867
fold_1,1461,exp016_static_strict_oof_proxy,0.1,40,0.0713222172137768,0.06910065552388478,-0.0022215616898920154,0.998686392345988
fold_1,1461,exp016_static_strict_oof_proxy,0.15,40,0.0713222172137768,0.0676053207943047,-0.0037168964194720933,0.9969319577618986
fold_1,1462,exp016_static_strict_oof_proxy,0.05,10,-0.0700034482669515,-0.07045418074638528,-0.0004507324794337797,0.9997863282792362
fold_1,1462,exp016_static_strict_oof_proxy,0.1,10,-0.0700034482669515,-0.07074802262473867,-0.0007445743577871727,0.9991197205490101
fold_1,1462,exp016_static_strict_oof_proxy,0.15,10,-0.0700034482669515,-0.07054414125378725,-0.0005406929868357474,0.9980078320060883
fold_1,1462,exp016_static_strict_oof_proxy,0.05,20,-0.0700034482669515,-0.06994989247794758,5.3555789003914556e-05,0.9997563769664107
fold_1,1462,exp016_static_strict_oof_proxy,0.1,20,-0.0700034482669515,-0.07017363336869915,-0.00017018510174765522,0.998967963253028
fold_1,1462,exp016_static_strict_oof_proxy,0.15,20,-0.0700034482669515,-0.07033686355454401,-0.00033341528759250894,0.9975779181914779
fold_1,1462,exp016_static_strict_oof_proxy,0.05,40,-0.0700034482669515,-0.06810935868813116,0.0018940895788203405,0.9996782687773095
fold_1,1462,exp016_static_strict_oof_proxy,0.1,40,-0.0700034482669515,-0.06610486463650557,0.0038985836304459287,0.998666840442646
fold_1,1462,exp016_static_strict_oof_proxy,0.15,40,-0.0700034482669515,-0.06373168858481669,0.006271759682134809,0.99688302415563
fold_1,1463,exp016_static_strict_oof_proxy,0.05,10,-0.015877558070779257,-0.014229318067201848,0.0016482400035774097,0.9998118345219796
fold_1,1463,exp016_static_strict_oof_proxy,0.1,10,-0.015877558070779257,-0.012063207640328952,0.003814350430450305,0.999233376514802
