index,name,spec,fold2_ic,fold3_ic,pooled_ic,floor_pass
334,concept_3_cat0,"{""cat"": 0, ""col"": 3, ""kind"": ""concept""}",-0.04899547099416598,-0.031136676989540327,-0.04006607399185315,True
335,concept_3_cat1,"{""cat"": 1, ""col"": 3, ""kind"": ""concept""}",-0.04899547099416598,-0.031136676989540327,-0.04006607399185315,True
336,concept_3_cat2,"{""cat"": 2, ""col"": 3, ""kind"": ""concept""}",-0.048294020240686374,-0.03105080065909372,-0.03967241044989005,True
337,concept_3_cat3,"{""cat"": 3, ""col"": 3, ""kind"": ""concept""}",-0.04901890843243792,-0.031213727889763076,-0.0401163181611005,True
338,concept_3_cat4,"{""cat"": 4, ""col"": 3, ""kind"": ""concept""}",-0.04812701087368813,-0.03187512398860051,-0.040001067431144316,True
339,concept_3_cat5,"{""cat"": 5, ""col"": 3, ""kind"": ""concept""}",-0.04899547099416598,-0.031136676989540327,-0.04006607399185315,True
340,concept_3_cat6,"{""cat"": 6, ""col"": 3, ""kind"": ""concept""}",-0.04591576056180301,-0.03417008256200732,-0.04004292156190516,True
341,concept_3_cat7,"{""cat"": 7, ""col"": 3, ""kind"": ""concept""}",-0.04870940395353157,-0.031062319103990953,-0.039885861528761266,True
342,concept_3_cat8,"{""cat"": 8, ""col"": 3, ""kind"": ""concept""}",-0.04748772575474129,-0.031575517737754105,-0.0395316217462477,True
343,concept_20_cat0,"{""cat"": 0, ""col"": 20, ""kind"": ""concept""}",-0.03216332379567384,-0.04608199369453587,-0.03912265874510486,True
344,concept_20_cat1,"{""cat"": 1, ""col"": 20, ""kind"": ""concept""}",-0.03216332379567384,-0.04608199369453587,-0.03912265874510486,True
345,concept_20_cat2,"{""cat"": 2, ""col"": 20, ""kind"": ""concept""}",-0.03130577499200674,-0.04578049503901872,-0.038543135015512736,True
346,concept_20_cat3,"{""cat"": 3, ""col"": 20, ""kind"": ""concept""}",-0.03201828929567393,-0.04619810379822217,-0.039108196546948054,True
347,concept_20_cat4,"{""cat"": 4, ""col"": 20, ""kind"": ""concept""}",-0.029275470499892507,-0.04377823624462585,-0.03652685337225918,True
348,concept_20_cat5,"{""cat"": 5, ""col"": 20, ""kind"": ""concept""}",-0.03216332379567384,-0.04608199369453587,-0.03912265874510486,True
349,concept_20_cat6,"{""cat"": 6, ""col"": 20, ""kind"": ""concept""}",-0.03038928642319131,-0.0448417116934003,-0.03761549905829581,True
350,concept_20_cat7,"{""cat"": 7, ""col"": 20, ""kind"": ""concept""}",-0.031826747316297095,-0.046152974882155966,-0.03898986109922653,True
351,concept_20_cat8,"{""cat"": 8, ""col"": 20, ""kind"": ""concept""}",-0.031253834025634,-0.04669266180755978,-0.03897324791659689,True
352,concept_11_cat0,"{""cat"": 0, ""col"": 11, ""kind"": ""concept""}",0.03609274898557192,0.03393293554776218,0.03501284226666705,True
