window,time,baseline,method,alpha,history_w,baseline_ic,candidate_ic,delta,rank_correlation_to_baseline,history_sections
fold_1,1462,exp016_static_strict_oof_proxy,momentum,0.15,40,-0.0700034482669515,-0.0700034482669515,0.0,1.0,3
fold_1,1462,exp016_static_strict_oof_proxy,shuffled,0.15,40,-0.0700034482669515,-0.0700034482669515,0.0,1.0,3
fold_1,1463,exp016_static_strict_oof_proxy,momentum,0.05,10,-0.015877558070779257,-0.015877558070779257,0.0,1.0,4
fold_1,1463,exp016_static_strict_oof_proxy,shuffled,0.05,10,-0.015877558070779257,-0.015877558070779257,0.0,1.0,4
fold_1,1463,exp016_static_strict_oof_proxy,momentum,0.05,20,-0.015877558070779257,-0.015877558070779257,0.0,1.0,4
fold_1,1463,exp016_static_strict_oof_proxy,shuffled,0.05,20,-0.015877558070779257,-0.015877558070779257,0.0,1.0,4
fold_1,1463,exp016_static_strict_oof_proxy,momentum,0.05,40,-0.015877558070779257,-0.015877558070779257,0.0,1.0,4
fold_1,1463,exp016_static_strict_oof_proxy,shuffled,0.05,40,-0.015877558070779257,-0.015877558070779257,0.0,1.0,4
fold_1,1463,exp016_static_strict_oof_proxy,momentum,0.1,10,-0.015877558070779257,-0.015877558070779257,0.0,1.0,4
fold_1,1463,exp016_static_strict_oof_proxy,shuffled,0.1,10,-0.015877558070779257,-0.015877558070779257,0.0,1.0,4
fold_1,1463,exp016_static_strict_oof_proxy,momentum,0.1,20,-0.015877558070779257,-0.015877558070779257,0.0,1.0,4
fold_1,1463,exp016_static_strict_oof_proxy,shuffled,0.1,20,-0.015877558070779257,-0.015877558070779257,0.0,1.0,4
fold_1,1463,exp016_static_strict_oof_proxy,momentum,0.1,40,-0.015877558070779257,-0.015877558070779257,0.0,1.0,4
fold_1,1463,exp016_static_strict_oof_proxy,shuffled,0.1,40,-0.015877558070779257,-0.015877558070779257,0.0,1.0,4
fold_1,1463,exp016_static_strict_oof_proxy,momentum,0.15,10,-0.015877558070779257,-0.015877558070779257,0.0,1.0,4
fold_1,1463,exp016_static_strict_oof_proxy,shuffled,0.15,10,-0.015877558070779257,-0.015877558070779257,0.0,1.0,4
fold_1,1463,exp016_static_strict_oof_proxy,momentum,0.15,20,-0.015877558070779257,-0.015877558070779257,0.0,1.0,4
fold_1,1463,exp016_static_strict_oof_proxy,shuffled,0.15,20,-0.015877558070779257,-0.015877558070779257,0.0,1.0,4
fold_1,1463,exp016_static_strict_oof_proxy,momentum,0.15,40,-0.015877558070779257,-0.015877558070779257,0.0,1.0,4
fold_1,1463,exp016_static_strict_oof_proxy,shuffled,0.15,40,-0.015877558070779257,-0.015877558070779257,0.0,1.0,4
fold_1,1464,exp016_static_strict_oof_proxy,momentum,0.05,10,0.11128109475496713,0.13806404509912593,0.0267829503441588,0.9986599307546892,5
fold_1,1464,exp016_static_strict_oof_proxy,momentum,0.1,10,0.11128109475496713,0.16730254479127055,0.05602145003630342,0.9940346042052617,5
fold_1,1464,exp016_static_strict_oof_proxy,momentum,0.15,10,0.11128109475496713,0.19916504324171633,0.0878839484867492,0.984939230737286,5
fold_1,1464,exp016_static_strict_oof_proxy,shuffled,0.05,10,0.11128109475496713,0.10927702729741699,-0.002004067457550135,0.9986337987708281,5
fold_1,1464,exp016_static_strict_oof_proxy,shuffled,0.1,10,0.11128109475496713,0.10676233674380652,-0.004518758011160612,0.9940567044768929,5
fold_1,1464,exp016_static_strict_oof_proxy,shuffled,0.15,10,0.11128109475496713,0.10439927450946651,-0.006881820245500617,0.9852711350955046,5
fold_1,1464,exp016_static_strict_oof_proxy,momentum,0.05,20,0.11128109475496713,0.13806404509912593,0.0267829503441588,0.9986599307546892,5
fold_1,1464,exp016_static_strict_oof_proxy,momentum,0.1,20,0.11128109475496713,0.16730254479127055,0.05602145003630342,0.9940346042052617,5
fold_1,1464,exp016_static_strict_oof_proxy,momentum,0.15,20,0.11128109475496713,0.19916504324171633,0.0878839484867492,0.984939230737286,5
fold_1,1464,exp016_static_strict_oof_proxy,shuffled,0.05,20,0.11128109475496713,0.11095229071632973,-0.0003288040386374008,0.9986621044385625,5
