test_time,preserved,mean_neighbor_distance,min_library_time,max_library_time,rank_correlation_to_exp023h
3161,True,nan,missing,missing,1.0
3162,True,nan,missing,missing,0.9999999999999998
3163,True,nan,missing,missing,1.0
3164,True,nan,missing,missing,1.0
3165,True,nan,missing,missing,0.9999999999999998
3166,True,nan,missing,missing,1.0
3167,False,2.6043541431427,2924,3160,0.9969349083049
3168,False,1.6059603691101074,2949,3158,0.9973549782019188
3169,False,2.1909983158111572,2833,3160,0.9974113766354756
3170,False,3.3404502868652344,2820,3160,0.9974399264347988
3171,False,2.7804975509643555,2914,3155,0.9977877915245895
3172,False,2.0699944496154785,2924,3160,0.99752742466798
3173,False,2.3876657485961914,2486,3155,0.9977848251018094
3174,False,2.339885711669922,2810,3155,0.9975932875586843
3175,False,2.4965550899505615,2869,3156,0.9975746524222208
3176,False,3.4262733459472656,1156,3155,0.9977045930260523
3177,False,2.4998342990875244,2845,3160,0.997826244564588
3178,False,2.762268543243408,2486,3155,0.9974524406391958
3179,False,4.079322814941406,2488,3127,0.9963049319364974
3180,False,6.135778427124023,2796,3156,0.9975957974383199
3181,False,2.76716947555542,2812,3137,0.9973337771699458
3182,False,1.8302947282791138,2884,3160,0.9978350829849298
3183,False,1.774254560470581,2846,3158,0.9980093254852251
3184,False,2.294379234313965,2528,3155,0.9978436058190827
3185,False,2.6632537841796875,2924,3160,0.9977771845490985
3186,False,2.027329444885254,2874,3160,0.9977318969051844
3187,False,1.741089105606079,2968,3160,0.9978132401281984
3188,False,1.8822804689407349,2846,3158,0.9979051486139433
3189,False,2.240964889526367,2904,3160,0.9976724164558668
3190,False,1.7803951501846313,2924,3160,0.9980870695687122
3191,False,2.3662805557250977,2846,3155,0.9981455422791093
3192,False,1.8376271724700928,2924,3160,0.9978756181517217
3193,False,3.854738712310791,1161,3117,0.9981719725342432
3194,False,3.6677937507629395,2390,3160,0.9978898830899383
3195,False,4.05357551574707,2623,3156,0.9981217072463159
3196,False,2.1325342655181885,2850,3160,0.9978117350262286
3197,False,1.8813228607177734,2955,3160,0.9980288513726426
3198,False,1.9595718383789062,2861,3158,0.9980357553502959
3199,False,1.9516615867614746,2846,3158,0.9977754376108104
3200,False,2.393712282180786,2874,3154,0.9978627550398625
3201,False,3.442032814025879,1453,3155,0.9982190615897196
3202,False,4.765346527099609,1245,3092,0.9984370890402346
3203,False,4.759521007537842,2411,3160,0.9980556309919987
3204,False,4.032552242279053,1245,3102,0.9983124566968705
3205,False,3.117983818054199,2507,3155,0.9981051454485121
3206,False,4.900242805480957,1245,3098,0.9984862253600479
3207,False,5.3453779220581055,1083,3117,0.9982032373410649
3208,False,3.754147529602051,2509,3160,0.998247247746945
3209,False,2.3258023262023926,2915,3160,0.9975172088484971
3210,False,2.3431994915008545,2695,3159,0.9979771492268609
3211,False,2.338481903076172,2915,3154,0.9977535399881079
3212,False,1.7274208068847656,2927,3160,0.9981023387201972
3213,False,2.201845645904541,2846,3155,0.998087795571213
3214,False,2.2701222896575928,2398,3148,0.9982705281481693
3215,False,3.180889129638672,2520,3156,0.9980578293018999
3216,False,2.1254262924194336,2497,3155,0.9981801811420575
3217,False,2.106037139892578,2884,3160,0.9975353661061649
3218,False,1.7333080768585205,2927,3160,0.9977438533351767
3219,False,2.112708330154419,2935,3158,0.9975668342148627
3220,False,3.207583427429199,2820,3160,0.9975436588026224
3221,False,2.255307674407959,2528,3155,0.9977682828571338
3222,False,2.2554874420166016,2846,3158,0.9981651070327205
3223,False,3.1446635723114014,2520,3155,0.9980149957619754
3224,False,2.879913806915283,2513,3151,0.9979326949582988
3225,False,2.6741528511047363,2828,3154,0.9981336077891738
3226,False,2.100849151611328,2845,3160,0.998088385523728
3227,False,2.4874372482299805,2874,3155,0.9981354576070459
3228,False,4.706209659576416,2158,3156,0.9977932912507098
3229,False,1.7910314798355103,2997,3160,0.9975070540755712
3230,False,2.200883626937866,2406,3129,0.9979679123228191
3231,False,3.235550880432129,1247,3117,0.9980329952754565
3232,False,3.6202893257141113,2507,3151,0.9980600250677347
3233,False,5.627943515777588,1082,3098,0.9976982981920893
3234,False,5.349176406860352,1245,3054,0.9977928742849985
3235,False,6.397218704223633,1245,3098,0.9978508244859706
3236,False,4.071759223937988,1636,3102,0.9975998215545275
3237,False,4.891303062438965,1440,3152,0.9977034745129661
3238,False,4.675068378448486,2250,3156,0.9976245443879196
3239,False,4.5257720947265625,2242,3136,0.9978240239865193
3240,False,4.409934043884277,2217,3160,0.9976255302277136
3241,False,3.6893081665039062,2301,3156,0.9979325505927568
3242,False,3.1103060245513916,2509,3159,0.9980282811203239
3243,False,3.184274196624756,2513,3160,0.9982980532809764
3244,False,2.7770700454711914,2401,3157,0.9982704921965387
3245,False,2.9941768646240234,2806,3157,0.9980241969965864
3246,False,1.9835224151611328,2846,3155,0.997995452680068
3247,False,1.9325045347213745,2823,3160,0.9974784665903451
3248,False,3.1675467491149902,2244,3145,0.9975477876309492
3249,False,2.3092074394226074,2823,3160,0.9975913151730601
3250,False,1.8111343383789062,2924,3160,0.997634191159289
3251,False,2.5446763038635254,2486,3102,0.9973067681206027
3252,False,2.8686537742614746,2844,3160,0.9978715584310907
3253,False,2.167902946472168,2830,3158,0.9975912926112134
3254,False,2.1904118061065674,2741,3127,0.9980557847227332
3255,False,2.060405731201172,2874,3160,0.9976479028791437
3256,False,2.2419722080230713,2823,3152,0.9971759197721027
3257,False,2.2382960319519043,2698,3160,0.9973994159466415
3258,False,2.1644768714904785,2846,3160,0.9972740033372947
3259,False,2.239386558532715,2835,3160,0.996886778903631
3260,False,2.274587392807007,2401,3155,0.9976756946426456
3261,False,2.3542704582214355,2468,3117,0.9976495253422053
3262,False,2.416719913482666,2401,3155,0.9976359748273385
3263,False,3.257915496826172,2752,3160,0.9974298442130792
3264,False,2.206986904144287,2874,3160,0.9974597668421311
3265,False,3.296304225921631,1243,3155,0.9978116692699036
3266,False,1.8654903173446655,2846,3160,0.9974528900847242
3267,False,1.91871976852417,2826,3160,0.997661459081568
3268,False,2.1745409965515137,2734,3127,0.9977904745656354
3269,False,2.050389289855957,2823,3160,0.9972737751265061
3270,False,1.8375420570373535,2834,3155,0.997405559165399
3271,False,1.8834341764450073,2846,3158,0.997615260307325
3272,False,2.1644530296325684,2845,3160,0.9976882274313646
3273,False,1.85166335105896,2823,3160,0.9976638941177445
3274,False,1.9075056314468384,2823,3160,0.9973067088963227
3275,False,1.9448615312576294,2915,3160,0.9973559351427241
3276,False,2.2718348503112793,2813,3155,0.9976051097714994
3277,False,2.4005279541015625,2752,3160,0.9974063842397674
3278,False,1.6809699535369873,2915,3160,0.9972543127605759
3279,False,2.840998649597168,2740,3156,0.9976553330673524
