fold,model,rankic,weight
fold_1,anchor,0.11203110472049536,
fold_1,recent_expert,0.11011508549549742,
fold_1,blend,0.1130180669902052,0.25
fold_1,blend,0.11310455680594919,0.3
fold_1,blend,0.1131390985887526,0.35
fold_2,anchor,0.0971174118037759,
fold_2,recent_expert,0.09646749240332872,
fold_2,blend,0.09800554027556392,0.25
fold_2,blend,0.09808852434420492,0.3
fold_2,blend,0.09814109826177993,0.35
