legacy_key,alternative_key,alternative_weight,prediction_rank_corr,mean_rank_ic,std_rank_ic,late_half_rank_ic,worst_quarter_rank_ic,negative_time_share,selection_score
tuned_public_best_cap1200__legacy_328_full__r8,tuned_public_best_cap1200__legacy_328_recent1702__r8,0.35000000000000003,0.8747995789377515,0.09444576183929247,0.1110095266056064,0.09285134113203955,0.05979135630635333,0.18106995884773663,0.08703655452052876
tuned_public_best_cap1200__legacy_328_full__r8,tuned_public_best_cap1200__legacy_328_recent1702__r8,0.4,0.8747995789377515,0.09447435617371518,0.11108503298473092,0.09282125613130959,0.05970929777785464,0.18106995884773663,0.08702541448182138
tuned_public_best_cap1200__legacy_328_full__r8,tuned_public_best_cap1200__legacy_328_recent1702__r8,0.30000000000000004,0.8747995789377515,0.09435928276701183,0.11087800260589455,0.09282925052182786,0.05981138920748304,0.17695473251028807,0.08699069438155088
tuned_public_best_cap1200__legacy_328_full__r8,tuned_public_best_cap1200__legacy_328_recent1702__r8,0.45,0.8747995789377515,0.0944492653155105,0.11109179953120937,0.0927509203922492,0.05957486871013447,0.18106995884773663,0.0869648825174569
tuned_public_best_cap1200__legacy_328_full__r8,tuned_public_best_cap1200__legacy_328_recent1702__r8,0.25,0.8747995789377515,0.09423669059889372,0.11068762276326119,0.09277113048680506,0.05982019879521804,0.18106995884773663,0.086913724204532
tuned_public_best_cap1200__legacy_328_full__r8,tuned_public_best_cap1200__legacy_328_recent1702__r8,0.5,0.8747995789377515,0.0943727129426096,0.11103201701164286,0.09262647748445889,0.05942693089362743,0.18106995884773663,0.08685968589536795
tuned_public_best_cap1200__legacy_328_full__r8,tuned_public_best_cap1200__legacy_328_recent1702__r8,0.2,0.8747995789377515,0.09406744475438872,0.11045419851079866,0.09267067262231027,0.05978210451766513,0.18518518518518517,0.08679134506742046
tuned_public_best_cap1200__legacy_328_full__r8,tuned_public_best_cap1200__legacy_328_recent1702__r8,0.55,0.8747995789377515,0.09424414650600725,0.11092601737380085,0.09245348565672352,0.059252942667641584,0.1728395061728395,0.08670870748354899
tuned_public_best_cap1200__legacy_328_full__r8,tuned_public_best_cap1200__legacy_328_recent1702__r8,0.15000000000000002,0.8747995789377515,0.09385781335362518,0.11016377022178517,0.09253969307986762,0.05970809992415158,0.18930041152263374,0.08663243458560319
tuned_public_best_cap1200__legacy_328_full__r8,tuned_public_best_cap1200__legacy_328_recent1702__r8,0.6000000000000001,0.8747995789377515,0.09405801802680315,0.11075118458006418,0.09222559122606522,0.059044640907705954,0.1728395061728395,0.08650561456276233
tuned_public_best_cap1200__legacy_328_full__r8,tuned_public_best_cap1200__legacy_328_recent1702__r8,0.1,0.8747995789377515,0.09359262405501434,0.10983599839476954,0.09235308060019812,0.05959571532876903,0.1934156378600823,0.08642137927332041
tuned_public_best_cap1200__legacy_328_full__r8,tuned_public_best_cap1200__legacy_328_recent1702__r8,0.65,0.8747995789377515,0.09383008545374182,0.11052482411648853,0.09195268323288074,0.05881632300005933,0.1728395061728395,0.08626411229674699
tuned_public_best_cap1200__legacy_328_full__r8,tuned_public_best_cap1200__legacy_328_recent1702__r8,0.05,0.8747995789377515,0.09329219803459385,0.10946199094307113,0.09213511128264397,0.0594452989755081,0.19753086419753085,0.08617569219719173
tuned_public_best_cap1200__legacy_328_full__r8,tuned_public_best_cap1200__legacy_328_recent1702__r8,0.7000000000000001,0.8747995789377515,0.09355404930888066,0.11024243777568836,0.091638133679123,0.058546660920311765,0.1728395061728395,0.08597779694223957
tuned_public_best_cap1200__legacy_328_full__r8,tuned_public_best_cap1200__legacy_328_recent1702__r8,0.0,0.8747995789377515,0.092940153549703,0.10905264603155261,0.09186783594296577,0.059262187805490904,0.19753086419753085,0.08588286511883941
tuned_public_best_cap1200__legacy_328_full__r8,tuned_public_best_cap1200__legacy_328_recent1702__r8,0.75,0.8747995789377515,0.09323961531787553,0.10990728036756978,0.0912867962986787,0.05828428003069874,0.1728395061728395,0.08566270255468111
tuned_public_best_cap1200__legacy_328_full__r8,tuned_public_best_cap1200__legacy_328_recent1702__r8,0.8,0.8747995789377515,0.0928932213334344,0.10953564026342325,0.09090800761792237,0.057988816880509705,0.1728395061728395,0.08531677632819584
tuned_public_best_cap1200__legacy_328_full__r8,tuned_public_best_cap1200__legacy_328_recent1702__r8,0.8500000000000001,0.8747995789377515,0.09249551829910485,0.10913181806301755,0.09047097690135568,0.05767394508192306,0.1728395061728395,0.08492384123634375
tuned_public_best_cap1200__legacy_328_full__r8,tuned_public_best_cap1200__legacy_328_recent1702__r8,0.9,0.8747995789377515,0.09206851516752394,0.10868986152877114,0.09000688679031399,0.05735382726657581,0.1728395061728395,0.08450708907417134
tuned_public_best_cap1200__legacy_328_full__r8,tuned_public_best_cap1200__legacy_328_recent1702__r8,0.9500000000000001,0.8747995789377515,0.09161721160791048,0.10821771426963653,0.08951729201277935,0.057032829037875175,0.1728395061728395,0.08407035921536407
tuned_public_best_cap1200__legacy_328_full__r8,tuned_public_best_cap1200__legacy_328_recent1702__r8,1.0,0.8747995789377515,0.09113175832211921,0.10772880399727608,0.08900497423191747,0.05668395697367098,0.16872427983539096,0.08360416282536903
