simulation,old_train_end,new_train_end,predict_range,old_blend_rankic,new_blend_rankic,mean_delta,second_half_delta,worst_quarter_delta,seed_deltas
sim_A,2189,2432,"[2432,2675)",0.10033652393785163,0.09893237143951795,-0.0014041524983336717,-0.0007857664636956585,-0.0022711789541719485,"[-0.002167927387472568, -7.640651965384881e-05, -0.0008915740243649467]"
sim_B,2432,2675,"[2675,2918)",0.07709398860561514,0.08564516877243089,0.008551180166815747,0.0061434653709454,0.009240425280512644,"[0.008029771422517762, 0.008608170998439635, 0.008335623540668163]"
sim_C,2675,2918,"[2918,3161)",0.09597898592912807,0.09274056390181186,-0.0032384220273162095,-0.0054370406879765965,0.000891065039194984,"[-0.00040000211820687137, -0.006238361206906531, -0.0044438272540116425]"
