split,feature,feature_index,mean_rank_ic,std_rank_ic,positive_rate,abs_mean_rank_ic
train_sample,num_0,0,-0.017275557404943343,0.10377326840597115,0.4,
train_sample,num_1,1,0.02485313292366567,0.06773587091505355,0.6375,
train_sample,num_2,2,-0.009131693153092894,0.10170170978358103,0.4625,
train_sample,num_3,3,0.010854867008018685,0.10086086129951506,0.6,
train_sample,num_4,4,0.018439972189819447,0.08444888016002124,0.625,
train_sample,num_5,5,0.0015512419942691068,0.04448318075563645,0.4875,
train_sample,num_6,6,-0.01171675024485107,0.18334227268410488,0.4875,
train_sample,num_7,7,-0.052356618366725075,0.1447415408663381,0.3875,
train_sample,num_8,8,-0.061987341609616976,0.13493835958980574,0.325,
train_sample,num_9,9,-0.029583954150614628,0.16239973216146308,0.4,
train_sample,num_10,10,-0.026541422479146003,0.1687377489916128,0.4375,
train_sample,num_11,11,-0.04653521865037087,0.11261480382254627,0.375,
train_sample,num_12,12,-0.006205023666786834,0.06569989814896135,0.4625,
train_sample,num_13,13,-0.013269685976566147,0.043407272316722895,0.3625,
train_sample,num_14,14,0.0031005603059361562,0.061272367196536746,0.575,
train_sample,num_15,15,0.014084957873569809,0.04705418814391713,0.6625,
train_sample,num_16,16,-0.0005972492616383107,0.08650576356477792,0.4875,
train_sample,num_17,17,,,,
train_sample,num_18,18,,,,
train_sample,num_19,19,,,,
train_sample,num_20,20,,,,
train_sample,num_21,21,,,,
train_sample,num_22,22,,,,
train_sample,num_23,23,,,,
train_sample,num_24,24,,,,
train_sample,num_25,25,,,,
train_sample,num_26,26,0.0035199960963042203,0.10702877665468281,0.525,
train_sample,num_27,27,0.003823751613013486,0.10809963497536122,0.525,
train_sample,num_28,28,-0.0030662189447906094,0.07584162776327967,0.5125,
train_sample,num_29,29,0.008893287846074339,0.08540059861606923,0.575,
train_sample,num_30,30,-0.018838178303644766,0.0857450247161012,0.4375,
train_sample,num_31,31,-0.025518609624911703,0.0839763378429585,0.4,
train_sample,num_32,32,-0.019335180842953645,0.06420519819470716,0.35,
train_sample,num_33,33,-0.022053689550376343,0.05354228205688178,0.3,
train_sample,num_34,34,-0.009313640467734452,0.08522109828366559,0.5,
train_sample,num_35,35,-0.009663758028489242,0.07140700970722529,0.4875,
train_sample,num_36,36,-0.01058358468525567,0.05715005132641269,0.45,
train_sample,num_37,37,0.024176354381475813,0.050554897943660713,0.675,
train_sample,num_38,38,-0.02511976695770139,0.11630020673946323,0.45,
train_sample,num_39,39,-0.03589068753735621,0.09951051940144844,0.375,
train_sample,num_40,40,-0.04454942233693111,0.06778415433854706,0.2,
train_sample,num_41,41,-0.05181406801431722,0.13447158421684305,0.3375,
train_sample,num_42,42,-0.03964361609662016,0.07075577012088825,0.3375,
train_sample,num_43,43,-0.03184823627132762,0.08056493527732825,0.3375,
train_sample,num_44,44,-0.00419259836389354,0.07854798143447819,0.5125,
train_sample,num_45,45,-0.015950916932546348,0.09920786955230457,0.4625,
train_sample,num_46,46,0.018447254658204036,0.04540784601243312,0.625,
train_sample,num_47,47,-0.026264903828030484,0.0725971165514168,0.2875,
train_sample,num_48,48,-0.02659664916461451,0.06935408496956572,0.325,
train_sample,num_49,49,-0.03141386202921543,0.049594417502593996,0.25,
train_sample,num_50,50,-0.03164570669845702,0.05459535011721609,0.275,
train_sample,num_51,51,-0.024369170453643958,0.05385361819396641,0.3,
train_sample,num_52,52,-0.009404743977695315,0.05807977748089671,0.4,
train_sample,num_53,53,0.02689525448593978,0.08839950459233137,0.6125,
train_sample,num_54,54,0.026566510781152262,0.09753560944053782,0.6375,
train_sample,num_55,55,-0.035994291374385576,0.06447756867650424,0.3125,
train_sample,num_56,56,-0.018010504512728724,0.11107730407291593,0.4625,
train_sample,num_57,57,0.05805473698759618,0.05683327378588783,0.875,
train_sample,num_58,58,-0.036343537152284895,0.06893210971486437,0.2875,
train_sample,num_59,59,0.01769187269766561,0.049493964894728674,0.6,
train_sample,num_60,60,0.016138391585171847,0.06169206052296902,0.625,
train_sample,num_61,61,0.018453742017790594,0.061267752918122,0.65,
