parameter_set,fold,time_points,mean_rank_ic,std_rank_ic,icir,min_rank_ic,max_rank_ic,best_iteration,mean_fold_rank_ic,median_fold_rank_ic,std_across_folds,mean_best_iteration
0,fold_1,243,0.17734284074280407,0.10721769407165932,1.654044533211807,-0.14116901827875328,0.47206415491424586,410,0.1456765200529009,0.14149550498096233,0.029796633853343937,1051.0
1,fold_1,243,0.17794844971457133,0.10860692318779731,1.6384632258375678,-0.12487157474975494,0.4910557084711628,638,0.14505751326248903,0.13950878355983326,0.03049752753860903,912.0
2,fold_1,243,0.1757257385128239,0.10928632198385063,1.60793899293995,-0.13730828175498097,0.480084292633683,461,0.14417590246443504,0.1391107651366027,0.029346950754283358,960.3333333333334
3,fold_1,243,0.16903903094588524,0.11206784695077135,1.5083633311893636,-0.1937084639607355,0.4553778003257304,144,0.14301653439124665,0.1424135325294883,0.025726296358228744,410.0
4,fold_1,243,0.16969579546623081,0.11258126046863197,1.5073183117674582,-0.19624870622599822,0.4644577834760161,201,0.14301126038396608,0.1418879662465738,0.026140995016616545,520.6666666666666
0,fold_2,243,0.14149550498096233,0.07871432483504931,1.7975826544593354,-0.07617424402225628,0.3188608888451389,1185,0.1456765200529009,0.14149550498096233,0.029796633853343937,1051.0
1,fold_2,243,0.13950878355983326,0.0772557622202887,1.805804247481696,-0.07217490964829634,0.31180551063361034,965,0.14505751326248903,0.13950878355983326,0.03049752753860903,912.0
2,fold_2,243,0.1391107651366027,0.07915956430318656,1.757346270929422,-0.0819938078028247,0.31503635161929944,1081,0.14417590246443504,0.1391107651366027,0.029346950754283358,960.3333333333334
3,fold_2,243,0.1424135325294883,0.079408555406136,1.7934280733494343,-0.06515285961384315,0.3147637496308589,653,0.14301653439124665,0.1424135325294883,0.025726296358228744,410.0
4,fold_2,243,0.1418879662465738,0.07867087302169588,1.8035641501962725,-0.0773846287259824,0.32086571229017546,709,0.14301126038396608,0.1418879662465738,0.026140995016616545,520.6666666666666
0,fold_3,244,0.1181912144349363,0.08707344108851306,1.3573738783883709,-0.19120965814009086,0.3869375108398608,1558,0.1456765200529009,0.14149550498096233,0.029796633853343937,1051.0
1,fold_3,244,0.11771530651306254,0.09033258077601178,1.303132330570172,-0.19975810118453313,0.3751683518255498,1133,0.14505751326248903,0.13950878355983326,0.03049752753860903,912.0
2,fold_3,244,0.11769120374387855,0.08806551020362163,1.336405176916111,-0.1786147478355435,0.3765945259289468,1339,0.14417590246443504,0.1391107651366027,0.029346950754283358,960.3333333333334
3,fold_3,244,0.11759703969836642,0.09281369719584326,1.267022468140975,-0.19695344836476308,0.359555132117394,433,0.14301653439124665,0.1424135325294883,0.025726296358228744,410.0
4,fold_3,244,0.1174500194390936,0.09126317660896961,1.2869376653666718,-0.20363220880032626,0.3581092470456986,652,0.14301126038396608,0.1418879662465738,0.026140995016616545,520.6666666666666
