fold,recent_rounds,recent_weight,mean_rank_ic,std_rank_ic,late_half_rank_ic,worst_quarter_rank_ic,negative_time_share,mean_delta,late_delta
fold_1,0,0.0,0.11203110472049536,0.08362777018755943,0.1336780259712768,0.08655670000212834,0.09465020576131687,0.0,0.0
fold_1,8,0.05,0.11220991756217771,0.08373671703535572,0.1338702018859794,0.08687054726522724,0.09465020576131687,0.00017881284168234923,0.00019217591470260809
fold_1,8,0.1,0.11233961839935554,0.08382067200330413,0.13400140255717008,0.0871738832980681,0.09465020576131687,0.0003085136788601728,0.00032337658589329243
fold_1,8,0.15,0.11243667383323336,0.0838920036695174,0.13408880047770405,0.08744805734048317,0.09465020576131687,0.000405569112737994,0.0004107745064272639
fold_1,8,0.2,0.11249869649178885,0.08393351491982584,0.13414205137776192,0.08769671039026525,0.09465020576131687,0.0004675917712934907,0.00046402540648513013
fold_1,8,0.25,0.1125287650408985,0.08395471927019008,0.13414661664521998,0.08792508146021141,0.09053497942386832,0.0004976603204031316,0.00046859067394319776
fold_1,8,0.35,0.11246569504258447,0.08393962324953322,0.134004167113114,0.08829735259862921,0.08641975308641975,0.000434590322089104,0.00032614114183721066
fold_1,16,0.05,0.11231859302737235,0.08369726814028906,0.1339001994390563,0.08709379269997213,0.09465020576131687,0.00028748830687698457,0.00022217346777950175
fold_1,16,0.1,0.11254943519635537,0.08373405416146314,0.13405594660876538,0.08760172757783692,0.09053497942386832,0.0005183304758600016,0.0003779206374885935
fold_1,16,0.15,0.11273899609193874,0.08375198543737665,0.1341609382224887,0.08808138489515388,0.08641975308641975,0.0007078913714433782,0.0004829122512119144
fold_1,16,0.2,0.11289504096448785,0.083746203565801,0.13422653033729032,0.0885315277024231,0.08641975308641975,0.0008639362439924886,0.0005485043660135303
fold_1,16,0.25,0.1130180669902052,0.08371014545434427,0.13424535942703691,0.08896457302197108,0.08641975308641975,0.0009869622697098318,0.0005673334557601273
fold_1,16,0.35,0.1131390985887526,0.08358676621823173,0.13412437695997717,0.08975840657138193,0.09053497942386832,0.0011079938682572316,0.0004463509887003836
fold_2,0,0.0,0.0971174118037759,0.12471629357117513,0.06827354260384416,0.06562882880555472,0.23045267489711935,0.0,0.0
fold_2,8,0.05,0.09738607236869976,0.12518408021195793,0.06843175719639324,0.06572051725126021,0.23045267489711935,0.0002686605649238616,0.000158214592549083
fold_2,8,0.1,0.09760008251237788,0.12561358655044502,0.0685358774841864,0.06575156346523416,0.23045267489711935,0.00048267070860198713,0.0002623348803422326
fold_2,8,0.15,0.09778884369971907,0.12600868230144507,0.06861889662538798,0.06577056278548307,0.23045267489711935,0.0006714318959431809,0.00034535402154381445
fold_2,8,0.2,0.09795045018054299,0.12638020208491793,0.0686822476495631,0.06575200560605483,0.2345679012345679,0.0008330383767670979,0.00040870504571893784
fold_2,8,0.25,0.09809006169350051,0.12670803979232007,0.068737219679878,0.06573686459571013,0.2345679012345679,0.0009726498897246194,0.00046367707603384156
fold_2,8,0.35,0.09827300210921906,0.1272614480170129,0.06875331878138383,0.0655889815954369,0.23045267489711935,0.0011555903054431688,0.00047977617753966473
fold_2,16,0.05,0.09736936176311081,0.12524060108268806,0.06844813313837267,0.06575676695096545,0.23045267489711935,0.00025194995933491837,0.00017459053452850704
fold_2,16,0.1,0.0975627637038151,0.12573360265720335,0.06856564192057416,0.0658230428300269,0.23045267489711935,0.00044535190003920644,0.00029209931672999345
fold_2,16,0.15,0.09773622433359974,0.126180138602959,0.06867332983683916,0.06588223140691628,0.2345679012345679,0.0006188125298238478,0.00039978723299499697
fold_2,16,0.2,0.09788001291572437,0.1266105078250495,0.06876501144392219,0.06592391465209531,0.2345679012345679,0.0007626011119484799,0.0004914688400780298
fold_2,16,0.25,0.09800554027556392,0.12700661912533834,0.06884231652283775,0.06594294243079353,0.2345679012345679,0.0008881284717880272,0.0005687739189935842
fold_2,16,0.35,0.09814109826177993,0.12768974094224247,0.06889765786885292,0.06588824651757055,0.2345679012345679,0.0010236864580040334,0.0006241152650087595
fold_3,0,0.0,0.08377222907415181,0.12661436009734173,0.08194818555617463,0.05433299470126351,0.25925925925925924,0.0,0.0
fold_3,8,0.05,0.08403800206339147,0.12718036648843797,0.082270898074947,0.05454145717037812,0.25925925925925924,0.00026577298923965986,0.00032271251877237506
