feature,feature_index,train_mean_rank_ic,train_std_rank_ic,train_positive_rate,valid_mean_rank_ic,valid_std_rank_ic,valid_positive_rate,sign_agreement,valid_psi,test_psi,max_psi,valid_outlier_rate,test_outlier_rate,audit_action
num_25,25,nan,nan,nan,nan,nan,nan,False,9.083609165042342,6.040941119043561,9.083609165042342,0.0,0.0,disable_candidate
num_18,18,nan,nan,nan,nan,nan,nan,False,8.378959353685143,5.832197617167739,8.378959353685143,0.0,0.0,disable_candidate
num_19,19,nan,nan,nan,nan,nan,nan,False,8.138443934829535,5.853611184062093,8.138443934829535,0.0,0.0,disable_candidate
num_21,21,nan,nan,nan,nan,nan,nan,False,7.175653136793499,6.499873909298448,7.175653136793499,0.0,0.0,disable_candidate
num_22,22,nan,nan,nan,nan,nan,nan,False,7.093426756421998,7.163662557190812,7.163662557190812,0.0,0.0,disable_candidate
num_24,24,nan,nan,nan,nan,nan,nan,False,5.9764725080421295,3.0446684729312077,5.9764725080421295,0.0,0.0,disable_candidate
num_28,28,-0.0030662189447906094,0.07584162776327967,0.5125,0.004461030231135505,0.10056791457748523,0.48559670781893005,False,1.0106346382672409,0.7109357836888189,1.0106346382672409,0.2704389574759945,0.23403333333333334,disable_candidate
num_52,52,-0.009404743977695315,0.05807977748089671,0.4,0.018757082460681862,0.06004500640489439,0.6378600823045267,False,0.12261939905284978,0.1381406100974071,0.1381406100974071,0.014128943758573388,0.009411111111111111,disable_candidate
num_51,51,-0.024369170453643958,0.05385361819396641,0.3,0.010514972399425001,0.0685698948126736,0.5637860082304527,False,0.05967234789490101,0.11650591726325753,0.11650591726325753,0.020603566529492457,0.014466666666666666,disable_candidate
num_35,35,-0.009663758028489242,0.07140700970722529,0.4875,0.010272544135033606,0.06256441902737041,0.551440329218107,False,0.04343105908757161,0.09334184359286027,0.09334184359286027,0.02727023319615912,0.022322222222222222,disable_candidate
num_34,34,-0.009313640467734452,0.08522109828366559,0.5,0.01708261433203188,0.07366024226170269,0.6213991769547325,False,0.04663711215232929,0.07973380027459957,0.07973380027459957,0.030246913580246913,0.029133333333333334,disable_candidate
num_16,16,-0.0005972492616383107,0.08650576356477792,0.4875,0.010128011277022288,0.069445034660552,0.5267489711934157,False,0.02120957759574825,0.025819590090133817,0.025819590090133817,0.017270233196159123,0.021944444444444444,disable_candidate
num_65,65,0.006566147452715089,0.07544021273855284,0.5375,-0.01666559889945399,0.06940285167067299,0.43209876543209874,False,0.007710061556323165,0.020275046742520418,0.020275046742520418,0.0017146776406035665,0.001,disable_candidate
num_62,62,0.001201220092148643,0.0667789378923469,0.5125,-0.01911203818506753,0.06812428736799636,0.4279835390946502,False,0.004301189934633355,0.011488955479418556,0.011488955479418556,0.002551440329218107,0.0012444444444444445,disable_candidate
num_20,20,nan,nan,nan,nan,nan,nan,False,0.6370735094489107,0.6405237253246006,0.6405237253246006,0.32098765432098764,0.30333333333333334,downweight
num_53,53,0.02689525448593978,0.08839950459233137,0.6125,0.04954156905587481,0.11036524464755572,0.6625514403292181,True,0.178713423803576,0.2760718907185488,0.2760718907185488,0.03410150891632373,0.020155555555555555,downweight
num_47,47,-0.026264903828030484,0.0725971165514168,0.2875,-0.032716750728427654,0.06438770811240599,0.2716049382716049,True,0.18560826914387557,0.2730689509718063,0.2730689509718063,0.11286694101508916,0.11502222222222222,downweight
num_17,17,nan,nan,nan,nan,nan,nan,False,0.259260123311955,0.21749422774564345,0.259260123311955,0.0,0.013333333333333334,downweight
num_54,54,0.026566510781152262,0.09753560944053782,0.6375,0.02491138512654892,0.0930308192260832,0.6296296296296297,True,0.13272361786732156,0.23328236790556442,0.23328236790556442,0.0075445816186556925,0.004111111111111111,downweight
num_70,70,0.011300901173419222,0.11453977621257869,0.5375,0.054336249899172406,0.14480622754275008,0.6172839506172839,True,0.1084224737852131,0.17620786161023938,0.17620786161023938,0.052647462277091904,0.018733333333333334,downweight
num_72,72,-0.02805114599336277,0.10258533091128529,0.3875,-0.05987837885375953,0.09986624692461019,0.25102880658436216,True,0.12222909730974543,0.15957628821068104,0.15957628821068104,0.10039780521262003,0.10275555555555556,downweight
num_11,11,-0.04653521865037087,0.11261480382254627,0.375,-0.07781266086939878,0.12436124032700473,0.2674897119341564,True,0.11324362641822594,0.14081304425299915,0.14081304425299915,0.04962962962962963,0.03908888888888889,downweight
num_50,50,-0.03164570669845702,0.05459535011721609,0.275,0.0027003297005716138,0.06760845677884057,0.51440329218107,False,0.0814067201249544,0.13344553674599896,0.13344553674599896,0.021248285322359395,0.016066666666666667,downweight
num_23,23,nan,nan,nan,nan,nan,nan,False,0.044202092359449996,0.1300958892679235,0.1300958892679235,0.04938271604938271,0.03666666666666667,downweight
num_91,91,-0.022789561178510043,0.05605559296348525,0.3625,-0.02618301073860969,0.06527166127546948,0.35802469135802467,True,0.10077519752384709,0.10442120845313815,0.10442120845313815,0.0006035665294924555,0.0006222222222222223,downweight
num_90,90,-0.05017733324593404,0.07804576706978061,0.25,-0.0546191104125324,0.0832141142179287,0.25102880658436216,True,0.10363924539366806,0.0978942485043105,0.10363924539366806,0.00027434842249657066,0.00011111111111111112,downweight
num_6,6,-0.01171675024485107,0.18334227268410488,0.4875,-0.04886937063655297,0.1912089759017059,0.45267489711934156,True,0.10339648395102742,0.07539409200592587,0.10339648395102742,0.055857338820301784,0.04526666666666666,downweight
num_78,78,0.010026101971812687,0.045025449312304,0.6625,-0.006027503647176455,0.0517534283877948,0.49382716049382713,False,0.049854996843858274,0.10066994106559643,0.10066994106559643,0.044087791495198904,0.016966666666666668,downweight
num_49,49,-0.03141386202921543,0.049594417502593996,0.25,0.00012463672935384044,0.05230614808649969,0.48559670781893005,False,0.06618124328323649,0.08671581889127883,0.08671581889127883,0.02758573388203018,0.024511111111111112,downweight
num_36,36,-0.01058358468525567,0.05715005132641269,0.45,0.0022038431494044767,0.04951745926665452,0.5267489711934157,False,0.02681927799254131,0.060254712565506956,0.060254712565506956,0.03171467764060357,0.02372222222222222,downweight
num_13,13,-0.013269685976566147,0.043407272316722895,0.3625,0.0015317264194428968,0.05501557072293099,0.5349794238683128,False,0.016132091257063837,0.05122275832479662,0.05122275832479662,0.20146776406035666,0.2066111111111111,downweight
