fold,feature_set,strategy,expert_rounds,mean_rank_ic,std_rank_ic,late_half_rank_ic,worst_quarter_rank_ic,negative_time_share,mean_delta,late_delta
fold_1,legacy,full,0,0.11203110472049536,0.08362777018755943,0.1336780259712768,0.08655670000212834,0.09465020576131687,0.0,0.0
fold_1,legacy,full,8,0.10870030815252883,0.082061549434647,0.12917718139473025,0.08676004593337922,0.09465020576131687,-0.003330796567966532,-0.004500844576546537
fold_1,legacy,full,16,0.11011508549549742,0.08110905813913194,0.12892010384453625,0.08935116821730049,0.08641975308641975,-0.0019160192249979419,-0.0047579221267405325
fold_1,legacy,full,32,0.11222504530022841,0.08029889284876215,0.13007533053996967,0.09204332348641357,0.08641975308641975,0.0001939405797330429,-0.003602695431307118
fold_1,legacy,decay_1200,8,0.11095460230275303,0.08060910268831356,0.12858243952589743,0.09042238688387813,0.06172839506172839,-0.0010765024177423338,-0.0050955864453793576
fold_1,legacy,decay_1200,16,0.10966686232405284,0.08196422819442092,0.1276562339803252,0.08761816105490215,0.09465020576131687,-0.00236424239644252,-0.006021791990951597
fold_1,legacy,decay_1200,32,0.11228479399033658,0.08257092766359235,0.1297970311533662,0.08925348420313671,0.0823045267489712,0.0002536892698412202,-0.003880994817910599
fold_1,enhanced,full,8,0.10883960837480447,0.08153312320515935,0.1301756205530652,0.08210239606304598,0.09876543209876543,-0.0031914963456908946,-0.0035024054182115905
fold_1,enhanced,full,16,0.11080260027077761,0.08380302569006065,0.13236993281411008,0.08474033878426242,0.09053497942386832,-0.0012285044497177544,-0.0013080931571667065
fold_1,enhanced,full,32,0.11427109951124027,0.08307578773526693,0.13408561351480403,0.09199453958061724,0.09465020576131687,0.002239994790744909,0.00040758754352723803
fold_1,enhanced,decay_1200,8,0.11082838533394532,0.08101550075322851,0.12988507857347625,0.08745019560764979,0.08641975308641975,-0.0012027193865500468,-0.0037929473978005335
fold_1,enhanced,decay_1200,16,0.11348399746319304,0.0823454597082599,0.13331628164085396,0.09142488754761906,0.09053497942386832,0.0014528927426976784,-0.00036174433042282517
fold_1,enhanced,decay_1200,32,0.11682621364938355,0.08264584301230485,0.13611379518862424,0.0950949439508331,0.0823045267489712,0.004795108928888181,0.00243576921734745
