fold,expert_rounds,recent_weight,mean_rank_ic,std_rank_ic,late_half_rank_ic,worst_quarter_rank_ic,negative_time_share,mean_delta,late_delta
fold_1,8,0.05,0.1125541568058741,0.08375349517439168,0.13417290305046845,0.08738930874689237,0.09465020576131687,0.0005230520853787418,0.0004948770791916579
fold_1,8,0.1,0.11301166084461034,0.08384384183095869,0.13460440020979642,0.08817054415270255,0.09053497942386832,0.0009805561241149757,0.0009263742385196283
fold_1,8,0.15,0.11341817127814353,0.08390340653152847,0.13495883676346687,0.08892157705545381,0.08641975308641975,0.00138706655764817,0.0012808107921900846
fold_1,8,0.2,0.1137587753912972,0.08394425138537964,0.13523461250792204,0.08964621541695042,0.08641975308641975,0.0017276706708018313,0.0015565865366452547
fold_1,8,0.25,0.11404652735876232,0.0839545732622183,0.13545037677932908,0.09031657747839235,0.08641975308641975,0.002015422638266956,0.0017723508080522976
fold_1,8,0.3,0.11428008478804139,0.08392407234203796,0.13559470713153737,0.09095920177290438,0.08641975308641975,0.002248980067546022,0.001916681160260586
fold_1,8,0.35,0.11445127238506075,0.08386356216490637,0.135657584056809,0.09156599483275525,0.08641975308641975,0.0024201676645653897,0.0019795580855322126
fold_1,16,0.05,0.1125959068686884,0.0838089858759172,0.13424237728748248,0.08729115400833506,0.09465020576131687,0.0005648021481930304,0.0005643513162056912
fold_1,16,0.1,0.11310488919836009,0.08395202329547512,0.13475101990217206,0.08799790089654018,0.09053497942386832,0.0010737844778647282,0.0010729939308952718
fold_1,16,0.15,0.11357227427624352,0.08407709825650551,0.1352066697207689,0.08865606564552465,0.09053497942386832,0.0015411695557481508,0.0015286437494921035
fold_1,16,0.2,0.11399002654219878,0.0841680251539274,0.13559395720255596,0.08931472720577528,0.09053497942386832,0.001958921821703416,0.001915931231279172
fold_1,16,0.25,0.1143536288447113,0.08422669667024446,0.135921795320071,0.08991990305191998,0.09053497942386832,0.0023225241242159356,0.0022437693487942223
fold_1,16,0.3,0.1146899423249304,0.08425914607994933,0.13620888208799675,0.0905096007937436,0.08641975308641975,0.002658837604435041,0.002530856116719965
fold_1,16,0.35,0.11496678189771588,0.08426451196770816,0.13641701729381914,0.09105950170203712,0.08641975308641975,0.0029356771772205137,0.00273899132254235
fold_1,32,0.05,0.11277439197461013,0.08379561372002695,0.13440977755164252,0.08751275044058546,0.09465020576131687,0.0007432872541147661,0.0007317515803657304
fold_1,32,0.1,0.11347152238488471,0.08391790623587689,0.1350765321927781,0.08845523741616085,0.09053497942386832,0.0014404176643893485,0.001398506221501311
fold_1,32,0.15,0.1141284084136586,0.08401991136137847,0.1357013547680708,0.0893536530423058,0.09053497942386832,0.00209730369316323,0.0020233287967940106
fold_1,32,0.2,0.11472584754849663,0.08410238996993118,0.136246627174706,0.09022021097059077,0.08641975308641975,0.0026947428280012647,0.0025686012034292216
fold_1,32,0.25,0.11527988877863347,0.0841520883634916,0.13673813095087453,0.09106023320441856,0.08641975308641975,0.00324878405813811,0.003060104979597744
fold_1,32,0.3,0.11579672339976925,0.08415997906993072,0.13717459940838111,0.09189195333197779,0.0823045267489712,0.0037656186792738855,0.0034965734371043278
fold_1,32,0.35,0.11624813329969698,0.084156009858234,0.1375281593233887,0.09266803600325604,0.0823045267489712,0.004217028579201615,0.0038501333521119008
fold_2,8,0.05,0.09733090308356276,0.12535795375328382,0.06840088986712099,0.06578331215858714,0.23045267489711935,0.00021349127978687044,0.00012734726327683077
fold_2,8,0.1,0.09748242239398022,0.12598126470039486,0.0684683439447074,0.06589904999920033,0.23045267489711935,0.0003650105902043288,0.00019480134086323486
fold_2,8,0.15,0.09761728710656475,0.1265727504128929,0.06852194572902126,0.06598351742347595,0.23045267489711935,0.0004998753027888603,0.00024840312517709906
